mode,label,task_type,dataset,model,num_clients,beta,seed,test_acc
always_on_calibration,Always-on calibration,small,dermamnist_224,resnet,3,0.01,42,0.6758104738154613
always_on_calibration,Always-on calibration,small,dermamnist_224,resnet,3,0.1,42,0.6748129675810474
always_on_calibration,Always-on calibration,small,dermamnist_224,resnet,5,0.0,42,0.6758104738154613
always_on_calibration,Always-on calibration,small,dermamnist_224,resnet,5,0.01,42,0.6763092269326684
always_on_calibration,Always-on calibration,small,dermamnist_224,resnet,5,0.1,42,0.6768079800498753
always_on_calibration,Always-on calibration,small,dermamnist_224,resnet,7,0.0,42,0.6758104738154613
always_on_calibration,Always-on calibration,small,dermamnist_224,resnet,7,0.01,42,0.6768079800498753
always_on_calibration,Always-on calibration,small,dermamnist_224,resnet,7,0.1,42,0.6763092269326684
always_on_calibration,Always-on calibration,small,dermamnist_224,swin_tiny,3,0.0,42,0.6334164588528678
always_on_calibration,Always-on calibration,small,dermamnist_224,swin_tiny,3,0.01,42,0.6334164588528678
always_on_calibration,Always-on calibration,small,dermamnist_224,swin_tiny,3,0.1,42,0.6304239401496259
always_on_calibration,Always-on calibration,small,dermamnist_224,swin_tiny,5,0.0,42,0.6334164588528678
always_on_calibration,Always-on calibration,small,dermamnist_224,swin_tiny,5,0.01,42,0.628927680798005
always_on_calibration,Always-on calibration,small,dermamnist_224,swin_tiny,5,0.1,42,0.6329177057356609
always_on_calibration,Always-on calibration,small,dermamnist_224,swin_tiny,7,0.0,42,0.6334164588528678
always_on_calibration,Always-on calibration,small,dermamnist_224,swin_tiny,7,0.01,42,0.6309226932668329
always_on_calibration,Always-on calibration,small,dermamnist_224,swin_tiny,7,0.1,42,0.628428927680798
always_on_calibration,Always-on calibration,small,dermamnist_224,vit_t,3,0.0,42,0.5950124688279301
always_on_calibration,Always-on calibration,small,dermamnist_224,vit_t,3,0.01,42,0.5945137157107232
always_on_calibration,Always-on calibration,small,dermamnist_224,vit_t,3,0.1,42,0.5940149625935162
always_on_calibration,Always-on calibration,small,dermamnist_224,vit_t,5,0.0,42,0.5950124688279301
always_on_calibration,Always-on calibration,small,dermamnist_224,vit_t,5,0.01,42,0.5925187032418953
always_on_calibration,Always-on calibration,small,dermamnist_224,vit_t,5,0.1,42,0.5920199501246883
always_on_calibration,Always-on calibration,small,dermamnist_224,vit_t,7,0.0,42,0.5950124688279301
always_on_calibration,Always-on calibration,small,dermamnist_224,vit_t,7,0.01,42,0.5895261845386534
always_on_calibration,Always-on calibration,small,dermamnist_224,vit_t,7,0.1,42,0.6104738154613466
always_on_calibration,Always-on calibration,small,organcmnist_224,convnext,3,0.0,42,0.6562804284323271
always_on_calibration,Always-on calibration,small,organcmnist_224,convnext,3,0.01,42,0.6550632911392406
always_on_calibration,Always-on calibration,small,organcmnist_224,convnext,3,0.1,42,0.6509250243427459
always_on_calibration,Always-on calibration,small,organcmnist_224,convnext,5,0.0,42,0.6562804284323271
always_on_calibration,Always-on calibration,small,organcmnist_224,convnext,5,0.01,42,0.6585929892891919
always_on_calibration,Always-on calibration,small,organcmnist_224,convnext,5,0.1,42,0.6450827653359299
always_on_calibration,Always-on calibration,small,organcmnist_224,convnext,7,0.0,42,0.6562804284323271
always_on_calibration,Always-on calibration,small,organcmnist_224,convnext,7,0.01,42,0.6544547224926972
always_on_calibration,Always-on calibration,small,organcmnist_224,convnext,7,0.1,42,0.6545764362220059
always_on_calibration,Always-on calibration,small,organcmnist_224,resnet,3,0.0,42,0.6005355404089582
always_on_calibration,Always-on calibration,small,organcmnist_224,resnet,3,0.01,42,0.6009006815968841
always_on_calibration,Always-on calibration,small,organcmnist_224,resnet,3,0.1,42,0.6000486854917235
always_on_calibration,Always-on calibration,small,organcmnist_224,resnet,5,0.0,42,0.6005355404089582
always_on_calibration,Always-on calibration,small,organcmnist_224,resnet,5,0.01,42,0.6002921129503408
always_on_calibration,Always-on calibration,small,organcmnist_224,resnet,5,0.1,42,0.5972492697176242
always_on_calibration,Always-on calibration,small,organcmnist_224,resnet,7,0.0,42,0.6005355404089582
always_on_calibration,Always-on calibration,small,organcmnist_224,resnet,7,0.01,42,0.6026046738072055
always_on_calibration,Always-on calibration,small,organcmnist_224,resnet,7,0.1,42,0.5990749756572541
always_on_calibration,Always-on calibration,small,organcmnist_224,swin_tiny,3,0.0,42,0.6841528724440117
always_on_calibration,Always-on calibration,small,organcmnist_224,swin_tiny,3,0.01,42,0.685126582278481
always_on_calibration,Always-on calibration,small,organcmnist_224,swin_tiny,3,0.1,42,0.6853700097370984
always_on_calibration,Always-on calibration,small,organcmnist_224,swin_tiny,5,0.0,42,0.6841528724440117
always_on_calibration,Always-on calibration,small,organcmnist_224,swin_tiny,5,0.01,42,0.6853700097370984
always_on_calibration,Always-on calibration,small,organcmnist_224,swin_tiny,5,0.1,42,0.6755111976630964
always_on_calibration,Always-on calibration,small,organcmnist_224,swin_tiny,7,0.0,42,0.6841528724440117
always_on_calibration,Always-on calibration,small,organcmnist_224,swin_tiny,7,0.01,42,0.680014605647517
always_on_calibration,Always-on calibration,small,organcmnist_224,swin_tiny,7,0.1,42,0.6795277507302824
always_on_calibration,Always-on calibration,small,organcmnist_224,vit_t,3,0.0,42,0.5864167478091529
always_on_calibration,Always-on calibration,small,organcmnist_224,vit_t,3,0.01,42,0.5856864654333008
always_on_calibration,Always-on calibration,small,organcmnist_224,vit_t,3,0.1,42,0.5914070107108081
always_on_calibration,Always-on calibration,small,organcmnist_224,vit_t,5,0.0,42,0.5864167478091529
always_on_calibration,Always-on calibration,small,organcmnist_224,vit_t,5,0.01,42,0.5828870496592016
always_on_calibration,Always-on calibration,small,organcmnist_224,vit_t,5,0.1,42,0.5827653359298929
always_on_calibration,Always-on calibration,small,organcmnist_224,vit_t,7,0.0,42,0.5864167478091529
always_on_calibration,Always-on calibration,small,organcmnist_224,vit_t,7,0.01,42,0.5797224926971762
always_on_calibration,Always-on calibration,small,organcmnist_224,vit_t,7,0.1,42,0.5826436222005842
always_on_calibration,Always-on calibration,small,organsmnist_224,convnext,3,0.0,42,0.6057550696725954
always_on_calibration,Always-on calibration,small,organsmnist_224,convnext,3,0.01,42,0.6043956043956044
always_on_calibration,Always-on calibration,small,organsmnist_224,convnext,3,0.1,42,0.6063215135380083
always_on_calibration,Always-on calibration,small,organsmnist_224,convnext,5,0.0,42,0.6057550696725954
always_on_calibration,Always-on calibration,small,organsmnist_224,convnext,5,0.01,42,0.6050753370340999
always_on_calibration,Always-on calibration,small,organsmnist_224,convnext,5,0.1,42,0.6041690268494392
always_on_calibration,Always-on calibration,small,organsmnist_224,convnext,7,0.0,42,0.6057550696725954
always_on_calibration,Always-on calibration,small,organsmnist_224,convnext,7,0.01,42,0.6064348023110909
always_on_calibration,Always-on calibration,small,organsmnist_224,convnext,7,0.1,42,0.6075676900419168
always_on_calibration,Always-on calibration,small,organsmnist_224,resnet,3,0.0,42,0.5274725274725275
always_on_calibration,Always-on calibration,small,organsmnist_224,resnet,3,0.01,42,0.5276991050186927
always_on_calibration,Always-on calibration,small,organsmnist_224,resnet,3,0.1,42,0.5341565650844001
always_on_calibration,Always-on calibration,small,organsmnist_224,resnet,5,0.0,42,0.5274725274725275
always_on_calibration,Always-on calibration,small,organsmnist_224,resnet,5,0.01,42,0.5269060836071146
always_on_calibration,Always-on calibration,small,organsmnist_224,resnet,5,0.1,42,0.5292851478418489
always_on_calibration,Always-on calibration,small,organsmnist_224,resnet,7,0.0,42,0.5274725274725275
always_on_calibration,Always-on calibration,small,organsmnist_224,resnet,7,0.01,42,0.5283788376571882
always_on_calibration,Always-on calibration,small,organsmnist_224,resnet,7,0.1,42,0.5284921264302708
always_on_calibration,Always-on calibration,small,organsmnist_224,swin_tiny,3,0.0,42,0.6277330916506174
always_on_calibration,Always-on calibration,small,organsmnist_224,swin_tiny,3,0.01,42,0.6260337600543786
always_on_calibration,Always-on calibration,small,organsmnist_224,swin_tiny,3,0.1,42,0.6235414070465617
always_on_calibration,Always-on calibration,small,organsmnist_224,swin_tiny,5,0.0,42,0.6277330916506174
always_on_calibration,Always-on calibration,small,organsmnist_224,swin_tiny,5,0.01,42,0.6277330916506174
always_on_calibration,Always-on calibration,small,organsmnist_224,swin_tiny,5,0.1,42,0.6284128242891129
always_on_calibration,Always-on calibration,small,organsmnist_224,swin_tiny,7,0.0,42,0.6277330916506174
always_on_calibration,Always-on calibration,small,organsmnist_224,swin_tiny,7,0.01,42,0.6288659793814433
always_on_calibration,Always-on calibration,small,organsmnist_224,swin_tiny,7,0.1,42,0.6285261130621955
always_on_calibration,Always-on calibration,small,organsmnist_224,vit_t,3,0.0,42,0.5445791322079981
always_on_calibration,Always-on calibration,small,organsmnist_224,vit_t,3,0.01,42,0.5423133567463464
always_on_calibration,Always-on calibration,small,organsmnist_224,vit_t,3,0.1,42,0.5448057097541633
always_on_calibration,Always-on calibration,small,organsmnist_224,vit_t,5,0.0,42,0.5445791322079981
always_on_calibration,Always-on calibration,small,organsmnist_224,vit_t,5,0.01,42,0.5432196669310071
always_on_calibration,Always-on calibration,small,organsmnist_224,vit_t,5,0.1,42,0.5475246403081455
always_on_calibration,Always-on calibration,small,organsmnist_224,vit_t,7,0.0,42,0.5445791322079981
always_on_calibration,Always-on calibration,small,organsmnist_224,vit_t,7,0.01,42,0.5461651750311544
always_on_calibration,Always-on calibration,small,organsmnist_224,vit_t,7,0.1,42,0.5486575280389714
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,convnext,3,0.0,42,0.848289973691903
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,convnext,3,0.01,42,0.8497515346389944
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,convnext,3,0.1,42,0.8351359251680796
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,convnext,5,0.0,42,0.848289973691903
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,convnext,5,0.01,42,0.848289973691903
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,convnext,5,0.1,42,0.8494592224495762
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,convnext,7,0.0,42,0.848289973691903
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,convnext,7,0.01,42,0.8512130955860859
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,convnext,7,0.1,42,0.8497515346389944
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,resnet,3,0.0,42,0.800350774627302
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,resnet,3,0.01,42,0.8000584624378837
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,resnet,3,0.1,42,0.686933645133002
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,resnet,5,0.0,42,0.800350774627302
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,resnet,5,0.01,42,0.8000584624378837
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,resnet,5,0.1,42,0.7977199649225373
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,resnet,7,0.0,42,0.800350774627302
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,resnet,7,0.01,42,0.7988892136802105
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,resnet,7,0.1,42,0.7983045893013738
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,swin_tiny,3,0.0,42,0.7740426775796551
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,swin_tiny,3,0.01,42,0.7737503653902368
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,swin_tiny,3,0.1,42,0.692779888921368
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,swin_tiny,5,0.0,42,0.7740426775796551
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,swin_tiny,5,0.01,42,0.7743349897690733
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,swin_tiny,5,0.1,42,0.7717041800643086
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,swin_tiny,7,0.0,42,0.7740426775796551
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,swin_tiny,7,0.01,42,0.7731657410114001
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,swin_tiny,7,0.1,42,0.7679041216018708
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,vit_t,3,0.0,42,0.8515054077755042
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,vit_t,3,0.01,42,0.8517977199649225
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,vit_t,3,0.1,42,0.8564747149956153
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,vit_t,5,0.0,42,0.8515054077755042
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,vit_t,5,0.01,42,0.8509207833966677
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,vit_t,5,0.1,42,0.8494592224495762
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,vit_t,7,0.0,42,0.8515054077755042
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,vit_t,7,0.01,42,0.8506284712072494
client_balanced_prevalence,Client-balanced prior,small,bloodmnist_224,vit_t,7,0.1,42,0.847413037123648
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,convnext,3,0.0,42,0.4303683737646002
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,convnext,3,0.01,42,0.431266846361186
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,convnext,3,0.1,42,0.42048517520215634
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,convnext,5,0.0,42,0.4303683737646002
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,convnext,5,0.01,42,0.42407906558849956
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,convnext,5,0.1,42,0.42318059299191374
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,convnext,7,0.0,42,0.4303683737646002
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,convnext,7,0.01,42,0.42587601078167114
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,convnext,7,0.1,42,0.4159928122192273
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,resnet,3,0.0,42,0.4752920035938904
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,resnet,3,0.01,42,0.4752920035938904
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,resnet,3,0.1,42,0.3000898472596586
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,resnet,5,0.0,42,0.4752920035938904
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,resnet,5,0.01,42,0.3000898472596586
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,resnet,5,0.1,42,0.4582210242587601
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,resnet,7,0.0,42,0.4752920035938904
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,resnet,7,0.01,42,0.4743935309973046
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,resnet,7,0.1,42,0.47079964061096136
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,swin_tiny,3,0.0,42,0.4833782569631626
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,swin_tiny,3,0.01,42,0.48247978436657685
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,swin_tiny,3,0.1,42,0.3998203054806828
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,swin_tiny,5,0.0,42,0.4833782569631626
