ablation,task_type,dataset,model,num_clients,beta,seed,selected_candidate,test_acc,delta_acc_vs_full,mean_abs_delta_all,mean_abs_delta_morph,max_alpha_all,max_alpha_morph,entropy_alpha_all,entropy_alpha_morph
full,small,chaoshengmnist_224,vit_t,3,0.01,42,prototype_head,0.1087151841868823,0.0,0.23521034585105047,0.260425378051069,0.6861488819122314,0.7239713668823242,0.7615024785139722,0.705560005890695
full,small,chaoshengmnist_224,vit_t,3,0.1,42,prototype_head,0.1087151841868823,0.0,0.10333370831277634,0.14948317574130163,0.48833388090133667,0.5575581192970276,0.9459687175347441,0.89394512066385
full,small,chaoshengmnist_224,vit_t,5,0.0,42,morph_anchor,0.1087151841868823,0.0,0.12570711791515352,0.15589478135108945,0.5142678022384644,0.5897369384765625,0.8346665344304083,0.7556553880524074
full,small,chaoshengmnist_224,vit_t,5,0.01,42,specialist_client,0.1087151841868823,0.0,0.12202235847711562,0.1387499266862869,0.4562758505344391,0.4842689633369446,0.8618295086953365,0.8236902381317259
full,small,chaoshengmnist_224,vit_t,5,0.1,42,specialist_client,0.1087151841868823,0.0,0.11488546848297121,0.1374803361296654,0.487213671207428,0.5437008142471313,0.8563410493493916,0.7981398113706533
full,small,chaoshengmnist_224,vit_t,7,0.0,42,specialist_client,0.1087151841868823,0.0,0.10294163379133965,0.1188568259228249,0.34017038345336914,0.3878801763057709,0.8519638991291751,0.8005779167545841
full,small,chaoshengmnist_224,vit_t,7,0.01,42,prototype_head,0.11320754716981132,0.0,0.07987427255328819,0.099759112207257,0.4224171042442322,0.4920140504837036,0.8713196640407961,0.8081831355824294
full,small,chaoshengmnist_224,vit_t,7,0.1,42,prototype_head,0.1087151841868823,0.0,0.03295292826939602,0.04649758141259758,0.18808260560035706,0.20205533504486084,0.9861285070163999,0.9725350413218153
full,small,dermamnist_224,convnext,3,0.0,42,morphology,0.6688279301745635,0.0,0.25151514924234813,0.23471149222718343,0.710606038570404,0.6854005455970764,0.7265883929139446,0.7580612799550333
full,small,dermamnist_224,convnext,3,0.01,42,morphology,0.6688279301745635,0.0,0.1974706815348731,0.19986954496966466,0.6295393705368042,0.6331376433372498,0.8271131789359739,0.829438834690695
full,small,dermamnist_224,convnext,3,0.1,42,avg,0.6688279301745635,0.0,0.13495672080251905,0.1381258252594206,0.4349837601184845,0.44049596786499023,0.9015971134056369,0.89628775629021
full,small,dermamnist_224,convnext,5,0.0,42,avg,0.6688279301745635,0.0,0.12323534309864045,0.11603879749774934,0.5080883502960205,0.4900969862937927,0.8512222316245495,0.8681540272948156
full,small,dermamnist_224,convnext,5,0.01,42,morphology,0.6688279301745635,0.0,0.1386228160560131,0.13914748221635817,0.394379585981369,0.3856808543205261,0.8380818744057743,0.833231139045084
full,small,dermamnist_224,convnext,5,0.1,42,avg,0.6688279301745635,0.0,0.10916758269071578,0.1143513599038124,0.3393246531486511,0.34596124291419983,0.9053244721117788,0.8960150472429403
full,small,dermamnist_224,convnext,7,0.0,42,avg,0.6688279301745635,0.0,0.0640755768637268,0.06483046999391244,0.36557456851005554,0.3697637617588043,0.9134917700100091,0.913271667335233
full,small,dermamnist_224,convnext,7,0.01,42,avg,0.6688279301745635,0.0,0.08373584453852809,0.08447927837165034,0.2499542385339737,0.24622920155525208,0.9068702732382184,0.9070143556283536
full,small,dermamnist_224,convnext,7,0.1,42,avg,0.6688279301745635,0.0,0.08440552986398034,0.08754667867811358,0.2414807826280594,0.24506011605262756,0.900708493614117,0.8951267251035967
full,small,dermamnist_224,resnet,3,0.0,42,morphology,0.6783042394014963,0.0,0.23866561469104552,0.22027732349104348,0.6913317441940308,0.6637493371963501,0.7442071289231054,0.7557065656182437
full,small,dermamnist_224,resnet,3,0.01,42,morphology,0.7042394014962593,0.0,0.24195152189996505,0.22198774086104497,0.6962606310844421,0.666314959526062,0.7499803722376095,0.7893174374975934
full,small,dermamnist_224,resnet,3,0.1,42,specialist_client,0.7600997506234414,0.0,0.16552348269356623,0.17896710667345261,0.5049785375595093,0.5012394785881042,0.8375872430462483,0.8064189897499477
full,small,dermamnist_224,resnet,5,0.0,42,consensus,0.6593516209476309,0.0,0.07974940359592439,0.06305385053157807,0.39937353134155273,0.35763463377952576,0.9322711982231043,0.9506836463153051
full,small,dermamnist_224,resnet,5,0.01,42,morphology,0.7391521197007481,0.0,0.1357599523663521,0.13713113561272622,0.5393999218940735,0.542827844619751,0.8169575143326337,0.8068405660965978
full,small,dermamnist_224,resnet,5,0.1,42,consensus,0.7655860349127181,0.0,0.12984758257865905,0.12232217282056808,0.3698079586029053,0.3603290021419525,0.8621431444285932,0.8754111635335047
full,small,dermamnist_224,resnet,7,0.0,42,avg,0.6678304239401496,0.0,0.07567474322051417,0.0758943810146682,0.4077187776565552,0.4084874987602234,0.8899853710260519,0.8843993007348107
