module,parameter,symbol,value,task_type,dataset,model,num_clients,client_average_acc
M1,prototype head scale,s,10.0,small,bloodmnist_224,convnext,3,0.8479976615024847
M1,prototype head scale,s,10.0,small,bloodmnist_224,convnext,5,0.8476079119165936
M1,prototype head scale,s,10.0,small,bloodmnist_224,convnext,7,0.8487771606742668
M1,prototype head scale,s,10.0,small,bloodmnist_224,resnet,3,0.7999610250414109
M1,prototype head scale,s,10.0,small,bloodmnist_224,resnet,5,0.7986943388872649
M1,prototype head scale,s,10.0,small,bloodmnist_224,resnet,7,0.7984020266978467
M1,prototype head scale,s,10.0,small,bloodmnist_224,swin_tiny,3,0.7730683036149274
M1,prototype head scale,s,10.0,small,bloodmnist_224,swin_tiny,5,0.7715093052713631
M1,prototype head scale,s,10.0,small,bloodmnist_224,swin_tiny,7,0.7701451817207444
M1,prototype head scale,s,10.0,small,bloodmnist_224,vit_t,3,0.8517002825684498
M1,prototype head scale,s,10.0,small,bloodmnist_224,vit_t,5,0.8511156581896132
M1,prototype head scale,s,10.0,small,bloodmnist_224,vit_t,7,0.84994640943194
M1,prototype head scale,s,10.0,small,chaoshengmnist_224,convnext,3,0.4285714285714286
M1,prototype head scale,s,10.0,small,chaoshengmnist_224,convnext,5,0.4282719377059
M1,prototype head scale,s,10.0,small,chaoshengmnist_224,convnext,7,0.4171907756813417
M1,prototype head scale,s,10.0,small,chaoshengmnist_224,resnet,3,0.4809823300389338
M1,prototype head scale,s,10.0,small,chaoshengmnist_224,resnet,5,0.46480982330038934
M1,prototype head scale,s,10.0,small,chaoshengmnist_224,resnet,7,0.47259658580413294
M1,prototype head scale,s,10.0,small,chaoshengmnist_224,swin_tiny,3,0.472596585804133
M1,prototype head scale,s,10.0,small,chaoshengmnist_224,swin_tiny,5,0.4833782569631626
M1,prototype head scale,s,10.0,small,chaoshengmnist_224,swin_tiny,7,0.4794848757112908
M1,prototype head scale,s,10.0,small,chaoshengmnist_224,vit_t,3,0.4588200059898173
M1,prototype head scale,s,10.0,small,chaoshengmnist_224,vit_t,5,0.4531296795447739
M1,prototype head scale,s,10.0,small,chaoshengmnist_224,vit_t,7,0.4495357891584307
M1,prototype head scale,s,10.0,small,dermamnist_224,convnext,3,0.6447215295095594
M1,prototype head scale,s,10.0,small,dermamnist_224,convnext,5,0.6477140482128013
M1,prototype head scale,s,10.0,small,dermamnist_224,convnext,7,0.6447215295095594
M1,prototype head scale,s,10.0,small,dermamnist_224,resnet,3,0.6688279301745635
M1,prototype head scale,s,10.0,small,dermamnist_224,resnet,5,0.6688279301745635
M1,prototype head scale,s,10.0,small,dermamnist_224,resnet,7,0.6688279301745635
M1,prototype head scale,s,10.0,small,dermamnist_224,swin_tiny,3,0.6724854530340815
M1,prototype head scale,s,10.0,small,dermamnist_224,swin_tiny,5,0.6721529509559434
M1,prototype head scale,s,10.0,small,dermamnist_224,swin_tiny,7,0.6739817123857024
M1,prototype head scale,s,10.0,small,dermamnist_224,vit_t,3,0.657689110556941
M1,prototype head scale,s,10.0,small,dermamnist_224,vit_t,5,0.656857855361596
M1,prototype head scale,s,10.0,small,dermamnist_224,vit_t,7,0.6606816292601828
M1,prototype head scale,s,10.0,small,organcmnist_224,convnext,3,0.6552255761116521
M1,prototype head scale,s,10.0,small,organcmnist_224,convnext,5,0.6534404414151249
M1,prototype head scale,s,10.0,small,organcmnist_224,convnext,7,0.6551850048685491
M1,prototype head scale,s,10.0,small,organcmnist_224,resnet,3,0.49882343395001627
M1,prototype head scale,s,10.0,small,organcmnist_224,resnet,5,0.497444011684518
M1,prototype head scale,s,10.0,small,organcmnist_224,resnet,7,0.49630801687763715
M1,prototype head scale,s,10.0,small,organcmnist_224,swin_tiny,3,0.6823271665043817
M1,prototype head scale,s,10.0,small,organcmnist_224,swin_tiny,5,0.6798928919182083
M1,prototype head scale,s,10.0,small,organcmnist_224,swin_tiny,7,0.6777426160337553
M1,prototype head scale,s,10.0,small,organcmnist_224,vit_t,3,0.5909201557935735
M1,prototype head scale,s,10.0,small,organcmnist_224,vit_t,5,0.5860921778643298
M1,prototype head scale,s,10.0,small,organcmnist_224,vit_t,7,0.5866601752677703
M1,prototype head scale,s,10.0,small,organsmnist_224,convnext,3,0.6112684566292814
M1,prototype head scale,s,10.0,small,organsmnist_224,convnext,5,0.6120237151164987
M1,prototype head scale,s,10.0,small,organsmnist_224,convnext,7,0.6124391072844682
M1,prototype head scale,s,10.0,small,organsmnist_224,resnet,3,0.42981760507533706
M1,prototype head scale,s,10.0,small,organsmnist_224,resnet,5,0.4337071862845059
M1,prototype head scale,s,10.0,small,organsmnist_224,resnet,7,0.42366224840451644
M1,prototype head scale,s,10.0,small,organsmnist_224,swin_tiny,3,0.6188210415014539
M1,prototype head scale,s,10.0,small,organsmnist_224,swin_tiny,5,0.6188210415014539
M1,prototype head scale,s,10.0,small,organsmnist_224,swin_tiny,7,0.619878403383558
M1,prototype head scale,s,10.0,small,organsmnist_224,vit_t,3,0.5541709149956573
M1,prototype head scale,s,10.0,small,organsmnist_224,vit_t,5,0.5554170914995658
M1,prototype head scale,s,10.0,small,organsmnist_224,vit_t,7,0.5562101129111439
M1,prototype head scale,s,12.0,small,bloodmnist_224,convnext,3,0.8479976615024847
M1,prototype head scale,s,12.0,small,bloodmnist_224,convnext,5,0.8476079119165936
M1,prototype head scale,s,12.0,small,bloodmnist_224,convnext,7,0.8487771606742668
M1,prototype head scale,s,12.0,small,bloodmnist_224,resnet,3,0.7999610250414109
M1,prototype head scale,s,12.0,small,bloodmnist_224,resnet,5,0.7986943388872649
M1,prototype head scale,s,12.0,small,bloodmnist_224,resnet,7,0.7984020266978467
M1,prototype head scale,s,12.0,small,bloodmnist_224,swin_tiny,3,0.7730683036149274
M1,prototype head scale,s,12.0,small,bloodmnist_224,swin_tiny,5,0.7715093052713631
M1,prototype head scale,s,12.0,small,bloodmnist_224,swin_tiny,7,0.7701451817207444
M1,prototype head scale,s,12.0,small,bloodmnist_224,vit_t,3,0.8517002825684498
M1,prototype head scale,s,12.0,small,bloodmnist_224,vit_t,5,0.8511156581896132
M1,prototype head scale,s,12.0,small,bloodmnist_224,vit_t,7,0.84994640943194
M1,prototype head scale,s,12.0,small,chaoshengmnist_224,convnext,3,0.4303683737646002
M1,prototype head scale,s,12.0,small,chaoshengmnist_224,convnext,5,0.42946990116801437
M1,prototype head scale,s,12.0,small,chaoshengmnist_224,convnext,7,0.4198861934710991
M1,prototype head scale,s,12.0,small,chaoshengmnist_224,resnet,3,0.481581311769991
M1,prototype head scale,s,12.0,small,chaoshengmnist_224,resnet,5,0.46361185983827496
M1,prototype head scale,s,12.0,small,chaoshengmnist_224,resnet,7,0.47379454926624737
M1,prototype head scale,s,12.0,small,chaoshengmnist_224,swin_tiny,3,0.4722970949386044
M1,prototype head scale,s,12.0,small,chaoshengmnist_224,swin_tiny,5,0.48427672955974843
M1,prototype head scale,s,12.0,small,chaoshengmnist_224,swin_tiny,7,0.4788858939802336
M1,prototype head scale,s,12.0,small,chaoshengmnist_224,vit_t,3,0.46031746031746035
M1,prototype head scale,s,12.0,small,chaoshengmnist_224,vit_t,5,0.4546271338724169
M1,prototype head scale,s,12.0,small,chaoshengmnist_224,vit_t,7,0.4507337526205451
M1,prototype head scale,s,12.0,small,dermamnist_224,convnext,3,0.6332502078137988
M1,prototype head scale,s,12.0,small,dermamnist_224,convnext,5,0.6320864505403159
M1,prototype head scale,s,12.0,small,dermamnist_224,convnext,7,0.630590191188695
M1,prototype head scale,s,12.0,small,dermamnist_224,resnet,3,0.6688279301745635
M1,prototype head scale,s,12.0,small,dermamnist_224,resnet,5,0.6688279301745635
M1,prototype head scale,s,12.0,small,dermamnist_224,resnet,7,0.6688279301745635
M1,prototype head scale,s,12.0,small,dermamnist_224,swin_tiny,3,0.6718204488778055
M1,prototype head scale,s,12.0,small,dermamnist_224,swin_tiny,5,0.6719866999168744
M1,prototype head scale,s,12.0,small,dermamnist_224,swin_tiny,7,0.6723192019950125
M1,prototype head scale,s,12.0,small,dermamnist_224,vit_t,3,0.6382377389858687
M1,prototype head scale,s,12.0,small,dermamnist_224,vit_t,5,0.6397339983374896
M1,prototype head scale,s,12.0,small,dermamnist_224,vit_t,7,0.6435577722360765
M1,prototype head scale,s,12.0,small,organcmnist_224,convnext,3,0.6540490100616683
