task_type,dataset,model,num_clients,beta,seed,mode,label,prototype_mode,evidence_mode,num_classes,covered_classes,mean_class_support,min_class_support,max_class_support,mean_pairwise_cosine,mean_pairwise_distance,min_pairwise_distance,mean_nearest_class_cosine,mean_nearest_class_distance,prototype_consistency,prototype_to_client_alignment,mean_evidence_entropy_norm
small,bloodmnist_224,convnext,3,0.1,42,global_client_size_weight,Global client-size weight,reference_prototype,global_client_size,8,8,1494.875,849.0,2330.0,0.8709102272987366,0.12908969819545746,0.033501386642456055,0.9274882078170776,0.07251175493001938,0.9117847800254821,0.9717597578253064,0.6898853453410542
small,bloodmnist_224,convnext,3,0.1,42,uniform_prevalence,Uniform prevalence prior,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9184969663619995,0.08150308579206467,0.02619880437850952,0.9645993709564209,0.03540060669183731,0.9117847800254821,0.9582620518548148,0.3579096304442072
small,bloodmnist_224,convnext,3,0.1,42,smoothed_prevalence,Smoothed prevalence prior,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9184969663619995,0.08150308579206467,0.02619880437850952,0.9645993709564209,0.03540060669183731,0.9117847800254821,0.9582620518548148,0.3579096304442072
small,bloodmnist_224,convnext,5,0,42,full,LAMP-Merge,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9195262789726257,0.08047372847795486,0.02524113655090332,0.9653648138046265,0.034635163843631744,,,0.0
small,bloodmnist_224,convnext,5,0,42,m1_only,M1 only,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9195262789726257,0.08047372847795486,0.02524113655090332,0.9653648138046265,0.034635163843631744,,,0.0
small,bloodmnist_224,convnext,5,0,42,prototype_head_agg,Classifier-head aggregation,classifier_head_aggregation,support_power,8,8,1494.875,849.0,2330.0,0.05651460215449333,0.9434853792190552,0.5005234479904175,0.28822800517082214,0.711772084236145,,,0.0
small,bloodmnist_224,convnext,5,0,42,global_feature_mean,Global-feature mean,global_feature_mean,support_power,8,8,1494.875,849.0,2330.0,1.0000001192092896,-2.384185791015625e-07,-2.384185791015625e-07,1.0000001192092896,-2.384185791015625e-07,,,0.0
small,bloodmnist_224,convnext,5,0,42,support_only,Support-only synthetic head,support_only_synthetic,support_power,8,8,1494.875,849.0,2330.0,0.011696861125528812,0.9883031845092773,0.9250220060348511,0.06048665940761566,0.9395133256912231,,,0.0
small,bloodmnist_224,convnext,5,0,42,prototype_shuffle,Shuffled-label prototype,reference_prototype_shuffle,support_power,8,8,1494.875,849.0,2330.0,0.9195262789726257,0.08047372847795486,0.02524113655090332,0.965364933013916,0.034635163843631744,,,0.0
small,bloodmnist_224,convnext,5,0,42,uniform_client_weight,Uniform client weight,reference_prototype,uniform_present_client,8,8,1494.875,849.0,2330.0,0.9195262789726257,0.08047372847795486,0.02524113655090332,0.9653648138046265,0.034635163843631744,,,0.0
small,bloodmnist_224,convnext,5,0,42,binary_support,Binary support only,reference_prototype,uniform_present_client,8,8,1494.875,849.0,2330.0,0.9195262789726257,0.08047372847795486,0.02524113655090332,0.9653648138046265,0.034635163843631744,,,0.0
small,bloodmnist_224,convnext,5,0,42,global_client_size_weight,Global client-size weight,reference_prototype,global_client_size,8,8,1494.875,849.0,2330.0,0.9195262789726257,0.08047372847795486,0.02524113655090332,0.9653648138046265,0.034635163843631744,,,0.0
small,bloodmnist_224,convnext,5,0,42,uniform_prevalence,Uniform prevalence prior,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9195262789726257,0.08047372847795486,0.02524113655090332,0.9653648138046265,0.034635163843631744,,,0.0
small,bloodmnist_224,convnext,5,0,42,smoothed_prevalence,Smoothed prevalence prior,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9195262789726257,0.08047372847795486,0.02524113655090332,0.9653648138046265,0.034635163843631744,,,0.0
small,bloodmnist_224,convnext,5,0.01,42,full,LAMP-Merge,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9197376370429993,0.0802624300122261,0.025241076946258545,0.9654309153556824,0.03456912934780121,0.998275876045227,0.9994515180587769,0.1985789509011504
small,bloodmnist_224,convnext,5,0.01,42,m1_only,M1 only,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9197376370429993,0.0802624300122261,0.025241076946258545,0.9654309153556824,0.03456912934780121,0.998275876045227,0.9994515180587769,0.1985789509011504
small,bloodmnist_224,convnext,5,0.01,42,prototype_head_agg,Classifier-head aggregation,classifier_head_aggregation,support_power,8,8,1494.875,849.0,2330.0,0.06023420765995979,0.9397658109664917,0.5707066059112549,0.24949036538600922,0.7505096197128296,-0.015053669456392527,0.6329410448670387,0.1985789509011504
small,bloodmnist_224,convnext,5,0.01,42,global_feature_mean,Global-feature mean,global_feature_mean,support_power,8,8,1494.875,849.0,2330.0,1.0000001192092896,-1.7881393432617188e-07,-2.384185791015625e-07,1.0000001192092896,-2.086162567138672e-07,1.000000238418579,1.0000000894069672,0.1985789509011504
small,bloodmnist_224,convnext,5,0.01,42,support_only,Support-only synthetic head,support_only_synthetic,support_power,8,8,1494.875,849.0,2330.0,0.011696861125528812,0.9883031845092773,0.9250220060348511,0.06048665940761566,0.9395133256912231,1.0000000596046448,1.0000000298023224,0.1985789509011504
small,bloodmnist_224,convnext,5,0.01,42,prototype_shuffle,Shuffled-label prototype,reference_prototype_shuffle,support_power,8,8,1494.875,849.0,2330.0,0.9197375178337097,0.0802624300122261,0.025241076946258545,0.9654309749603271,0.03456912934780121,0.998275876045227,0.960652157664299,0.1985789509011504
small,bloodmnist_224,convnext,5,0.01,42,uniform_client_weight,Uniform client weight,reference_prototype,uniform_present_client,8,8,1494.875,849.0,2330.0,0.9199644327163696,0.08003554493188858,0.025241076946258545,0.9655009508132935,0.034499071538448334,0.998275876045227,0.999568834900856,0.2500000006869588
small,bloodmnist_224,convnext,5,0.01,42,binary_support,Binary support only,reference_prototype,uniform_present_client,8,8,1494.875,849.0,2330.0,0.9199644327163696,0.08003554493188858,0.025241076946258545,0.9655009508132935,0.034499071538448334,0.998275876045227,0.999568834900856,0.2500000006869588
small,bloodmnist_224,convnext,5,0.01,42,global_client_size_weight,Global client-size weight,reference_prototype,global_client_size,8,8,1494.875,849.0,2330.0,0.9198665618896484,0.08013343811035156,0.025241076946258545,0.965468168258667,0.03453186899423599,0.998275876045227,0.9995104670524597,0.2285873652347789
small,bloodmnist_224,convnext,5,0.01,42,uniform_prevalence,Uniform prevalence prior,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9197376370429993,0.0802624300122261,0.025241076946258545,0.9654309153556824,0.03456912934780121,0.998275876045227,0.9994515180587769,0.1985789509011504
small,bloodmnist_224,convnext,5,0.01,42,smoothed_prevalence,Smoothed prevalence prior,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9197376370429993,0.0802624300122261,0.025241076946258545,0.9654309153556824,0.03456912934780121,0.998275876045227,0.9994515180587769,0.1985789509011504
small,bloodmnist_224,convnext,5,0.1,42,full,LAMP-Merge,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9187622666358948,0.08123767375946045,0.026989638805389404,0.9654715657234192,0.03452841937541962,0.9083380624651909,0.9591938645943351,0.5502468028409273
small,bloodmnist_224,convnext,5,0.1,42,m1_only,M1 only,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9187622666358948,0.08123767375946045,0.026989638805389404,0.9654715657234192,0.03452841937541962,0.9083380624651909,0.9591938645943351,0.5502468028409273
small,bloodmnist_224,convnext,5,0.1,42,prototype_head_agg,Classifier-head aggregation,classifier_head_aggregation,support_power,8,8,1494.875,849.0,2330.0,0.009202606976032257,0.9907974600791931,0.9188934564590454,0.06040821596980095,0.9395917654037476,-0.0018068199860863388,0.4316004894916778,0.5502468028409273
small,bloodmnist_224,convnext,5,0.1,42,global_feature_mean,Global-feature mean,global_feature_mean,support_power,8,8,1494.875,849.0,2330.0,1.0,-2.1287374085687816e-09,-1.1920928955078125e-07,1.0,-4.470348358154297e-08,1.0,1.0000000051830127,0.5502468028409273
small,bloodmnist_224,convnext,5,0.1,42,support_only,Support-only synthetic head,support_only_synthetic,support_power,8,8,1494.875,849.0,2330.0,0.011696860194206238,0.9883031845092773,0.9250220060348511,0.06048665940761566,0.9395133256912231,1.0000000124176343,1.0000000233235566,0.5502468028409273
small,bloodmnist_224,convnext,5,0.1,42,prototype_shuffle,Shuffled-label prototype,reference_prototype_shuffle,support_power,8,8,1494.875,849.0,2330.0,0.9187622666358948,0.08123766630887985,0.026989638805389404,0.9654715657234192,0.03452841937541962,0.9083380624651909,0.8992579605268396,0.5502468028409273
small,bloodmnist_224,convnext,5,0.1,42,uniform_client_weight,Uniform client weight,reference_prototype,uniform_present_client,8,8,1494.875,849.0,2330.0,0.8880566954612732,0.11194329708814621,0.03945070505142212,0.9443777799606323,0.05562224239110947,0.9083380624651909,0.9699458790862042,1.0000000084875587
small,bloodmnist_224,convnext,5,0.1,42,binary_support,Binary support only,reference_prototype,uniform_present_client,8,8,1494.875,849.0,2330.0,0.8880566954612732,0.11194329708814621,0.03945070505142212,0.9443777799606323,0.05562224239110947,0.9083380624651909,0.9699458790862042,1.0000000084875587
small,bloodmnist_224,convnext,5,0.1,42,global_client_size_weight,Global client-size weight,reference_prototype,global_client_size,8,8,1494.875,849.0,2330.0,0.896257221698761,0.10374279320240021,0.030142366886138916,0.9514294266700745,0.04857054352760315,0.9083380624651909,0.9665442990220111,0.8356388809892271
small,bloodmnist_224,convnext,5,0.1,42,uniform_prevalence,Uniform prevalence prior,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9187622666358948,0.08123767375946045,0.026989638805389404,0.9654715657234192,0.03452841937541962,0.9083380624651909,0.9591938645943351,0.5502468028409273
small,bloodmnist_224,convnext,5,0.1,42,smoothed_prevalence,Smoothed prevalence prior,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9187622666358948,0.08123767375946045,0.026989638805389404,0.9654715657234192,0.03452841937541962,0.9083380624651909,0.9591938645943351,0.5502468028409273
small,bloodmnist_224,convnext,7,0,42,full,LAMP-Merge,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9195262789726257,0.08047371357679367,0.02524113655090332,0.965364933013916,0.034635141491889954,,,0.0
small,bloodmnist_224,convnext,7,0,42,m1_only,M1 only,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9195262789726257,0.08047371357679367,0.02524113655090332,0.965364933013916,0.034635141491889954,,,0.0
small,bloodmnist_224,convnext,7,0,42,prototype_head_agg,Classifier-head aggregation,classifier_head_aggregation,support_power,8,8,1494.875,849.0,2330.0,0.032617099583148956,0.9673828482627869,0.7310135364532471,0.12708419561386108,0.8729158639907837,,,0.0
small,bloodmnist_224,convnext,7,0,42,global_feature_mean,Global-feature mean,global_feature_mean,support_power,8,8,1494.875,849.0,2330.0,1.0,0.0,0.0,1.0,0.0,,,0.0
small,bloodmnist_224,convnext,7,0,42,support_only,Support-only synthetic head,support_only_synthetic,support_power,8,8,1494.875,849.0,2330.0,0.011696861125528812,0.9883031845092773,0.9250220060348511,0.06048665940761566,0.9395133256912231,,,0.0
small,bloodmnist_224,convnext,7,0,42,prototype_shuffle,Shuffled-label prototype,reference_prototype_shuffle,support_power,8,8,1494.875,849.0,2330.0,0.9195262789726257,0.08047370612621307,0.02524113655090332,0.965364933013916,0.034635141491889954,,,0.0
small,bloodmnist_224,convnext,7,0,42,uniform_client_weight,Uniform client weight,reference_prototype,uniform_present_client,8,8,1494.875,849.0,2330.0,0.9195262789726257,0.08047371357679367,0.02524113655090332,0.965364933013916,0.034635141491889954,,,0.0
small,bloodmnist_224,convnext,7,0,42,binary_support,Binary support only,reference_prototype,uniform_present_client,8,8,1494.875,849.0,2330.0,0.9195262789726257,0.08047371357679367,0.02524113655090332,0.965364933013916,0.034635141491889954,,,0.0
small,bloodmnist_224,convnext,7,0,42,global_client_size_weight,Global client-size weight,reference_prototype,global_client_size,8,8,1494.875,849.0,2330.0,0.9195262789726257,0.08047371357679367,0.02524113655090332,0.965364933013916,0.034635141491889954,,,0.0
small,bloodmnist_224,convnext,7,0,42,uniform_prevalence,Uniform prevalence prior,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9195262789726257,0.08047371357679367,0.02524113655090332,0.965364933013916,0.034635141491889954,,,0.0
small,bloodmnist_224,convnext,7,0,42,smoothed_prevalence,Smoothed prevalence prior,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9195262789726257,0.08047371357679367,0.02524113655090332,0.965364933013916,0.034635141491889954,,,0.0
small,bloodmnist_224,convnext,7,0.01,42,full,LAMP-Merge,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9197871088981628,0.08021296560764313,0.024532973766326904,0.9654719233512878,0.03452809900045395,0.9697070036615644,0.9893073818900369,0.3941735050957755
small,bloodmnist_224,convnext,7,0.01,42,m1_only,M1 only,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9197871088981628,0.08021296560764313,0.024532973766326904,0.9654719233512878,0.03452809900045395,0.9697070036615644,0.9893073818900369,0.3941735050957755
small,bloodmnist_224,convnext,7,0.01,42,prototype_head_agg,Classifier-head aggregation,classifier_head_aggregation,support_power,8,8,1494.875,849.0,2330.0,0.07591886818408966,0.9240811467170715,0.6611512899398804,0.24791991710662842,0.7520800828933716,-0.004033574036189488,0.5607833659107034,0.3941735050957755
small,bloodmnist_224,convnext,7,0.01,42,global_feature_mean,Global-feature mean,global_feature_mean,support_power,8,8,1494.875,849.0,2330.0,1.0,-8.514949634275126e-09,-2.384185791015625e-07,1.0,-5.960464477539063e-08,1.0,1.0000000541860408,0.3941735050957755
small,bloodmnist_224,convnext,7,0.01,42,support_only,Support-only synthetic head,support_only_synthetic,support_power,8,8,1494.875,849.0,2330.0,0.011696861125528812,0.9883031845092773,0.9250220060348511,0.06048665940761566,0.9395133256912231,1.000000068119594,1.0000000975348733,0.3941735050957755
small,bloodmnist_224,convnext,7,0.01,42,prototype_shuffle,Shuffled-label prototype,reference_prototype_shuffle,support_power,8,8,1494.875,849.0,2330.0,0.9197870492935181,0.08021296560764313,0.024532973766326904,0.9654719829559326,0.03452809900045395,0.9697070036615644,0.9328271855007518,0.3941735050957755
small,bloodmnist_224,convnext,7,0.01,42,uniform_client_weight,Uniform client weight,reference_prototype,uniform_present_client,8,8,1494.875,849.0,2330.0,0.9147825241088867,0.08521739393472672,0.03292471170425415,0.9605151414871216,0.03948488086462021,0.9697070036615644,0.992681086063385,0.6250000036306382
small,bloodmnist_224,convnext,7,0.01,42,binary_support,Binary support only,reference_prototype,uniform_present_client,8,8,1494.875,849.0,2330.0,0.9147825241088867,0.08521739393472672,0.03292471170425415,0.9605151414871216,0.03948488086462021,0.9697070036615644,0.992681086063385,0.6250000036306382
small,bloodmnist_224,convnext,7,0.01,42,global_client_size_weight,Global client-size weight,reference_prototype,global_client_size,8,8,1494.875,849.0,2330.0,0.9194617867469788,0.08053820580244064,0.02542877197265625,0.9644249081611633,0.03557509928941727,0.9697070036615644,0.9897271394729614,0.36049070852961485
