dataset,mode,label,cases,mean_covered_classes,mean_mean_class_support,mean_min_class_support,mean_max_class_support,mean_mean_pairwise_cosine,mean_mean_pairwise_distance,mean_min_pairwise_distance,mean_mean_nearest_class_cosine,mean_mean_nearest_class_distance,mean_prototype_consistency,mean_prototype_to_client_alignment,mean_mean_evidence_entropy_norm
dermamnist_224,prototype_shuffle,Shuffled-label prototype,36,7.0,887.4444342719185,108.33333333333333,2064.222222222222,0.9476944191588296,0.05230557732284069,0.014245457119411893,0.971944659948349,0.02805533508459727,0.999962546536584,0.9539104867112819,0.4126984138512278
dermamnist_224,support_only,Support-only synthetic head,36,7.0,887.4444342719185,108.33333333333333,2064.222222222222,0.015322811358297864,0.98467718064785,0.8914205912086699,0.08245218503806326,0.9175478335883882,1.0000000225044328,1.0000000460608596,0.4126984138512278
dermamnist_224,uniform_client_weight,Uniform client weight,36,7.0,887.4444342719185,108.33333333333333,2064.222222222222,0.9476944125360913,0.052305579392446414,0.014245468709203932,0.9719446433915032,0.028055340258611575,0.999962546536584,0.9999862416022924,0.41269841732829554
organcmnist_224,full,Full prototype,36,11.0,1332.8282877604167,687.5555555555555,2130.3333333333335,0.8042542901304033,0.19574571442272928,0.0061528368128670585,0.9438191635741128,0.0561808338906202,0.9996943309704058,0.9998982283751261,0.43384246597462345
organcmnist_224,global_client_size_weight,Global client-size weight,36,11.0,1332.8282877604167,687.5555555555555,2130.3333333333335,0.8042650454574161,0.19573496178620392,0.006153853403197395,0.9438522739542855,0.05614771999211775,0.9996943309704058,0.9998929499682105,0.4080106923179237
organcmnist_224,global_feature_mean,Global-feature mean,36,11.0,1332.8282877604167,687.5555555555555,2130.3333333333335,1.0000000198682149,-1.2763822557524149e-08,-5.6293275621202255e-08,1.000000034769376,-3.5070409292675066e-08,1.0000000074505806,1.0000000206120672,0.43384246597462345
organcmnist_224,prototype_head_agg,Classifier-head aggregation,36,11.0,1332.8282877604167,687.5555555555555,2130.3333333333335,0.030064160096824506,0.9699358344078064,0.6274115592241287,0.22441258157293,0.7755874246358871,-0.009512624030580832,0.617667971689102,0.43384246597462345
organcmnist_224,prototype_shuffle,Shuffled-label prototype,36,11.0,1332.8282877604167,687.5555555555555,2130.3333333333335,0.8042542984088262,0.19574571297400528,0.0061528368128670585,0.9438191536400053,0.0561808338906202,0.9996943309704058,0.8421443450791061,0.43384246597462345
organcmnist_224,support_only,Support-only synthetic head,36,11.0,1332.8282877604167,687.5555555555555,2130.3333333333335,0.012146217050030828,0.9878538101911545,0.860793756114112,0.09257145908971627,0.9074284881353378,1.0000000462253187,1.000000055659612,0.43384246597462345
organcmnist_224,uniform_client_weight,Uniform client weight,36,11.0,1332.8282877604167,687.5555555555555,2130.3333333333335,0.8042450000842413,0.19575500674545765,0.006155164705382453,0.943817483054267,0.056182521343645125,0.9996943309704058,0.9998983836894182,0.4343434391721209
organsmnist_224,full,Full prototype,36,11.0,1262.4141642252605,657.5555555555555,2036.5555555555557,0.806015819311142,0.19398418441414833,0.001255912913216485,0.9620592362350888,0.03794075703869263,0.9995056421285713,0.9998471343156085,0.4231241553598542
organsmnist_224,global_client_size_weight,Global client-size weight,36,11.0,1262.4141642252605,657.5555555555555,2036.5555555555557,0.8059784289863374,0.19402156666749054,0.0012737115224202473,0.9620648125807444,0.037935187574476004,0.9995056421285713,0.9998403726317016,0.3898733521150011
organsmnist_224,global_feature_mean,Global-feature mean,36,11.0,1262.4141642252605,657.5555555555555,2036.5555555555557,0.9999999867545234,1.8393150360809486e-08,-2.1523899502224392e-08,1.0,-3.612402623945046e-09,0.9999999925494194,0.9999999889022257,0.4231241553598542
organsmnist_224,prototype_head_agg,Classifier-head aggregation,36,11.0,1262.4141642252605,657.5555555555555,2036.5555555555557,0.024919045195727248,0.9750809636380937,0.5852288173304664,0.23984725545677874,0.7601527389552858,-0.011710332712761127,0.607984154800096,0.4231241553598542
organsmnist_224,prototype_shuffle,Shuffled-label prototype,36,11.0,1262.4141642252605,657.5555555555555,2036.5555555555557,0.8060158209668266,0.1939841808958186,0.001255912913216485,0.9620592428578271,0.03794075703869263,0.9995056421285713,0.8356844686218616,0.4231241553598542
organsmnist_224,support_only,Support-only synthetic head,36,11.0,1262.4141642252605,657.5555555555555,2036.5555555555557,0.012146217231121328,0.9878538101911545,0.860793756114112,0.09257146095236142,0.9074284881353378,1.0000000259744677,1.0000000420821418,0.4231241553598542
organsmnist_224,uniform_client_weight,Uniform client weight,36,11.0,1262.4141642252605,657.5555555555555,2036.5555555555557,0.8060111767715878,0.19398881639871332,0.0012573881281746759,0.9620572510692809,0.037942744636287294,0.9995056421285713,0.9998475853823292,0.4242424288823833
