task_type,dataset,model,clip_model,num_clients,beta,seed,merge_weight_mode,my_merge_acc,my_merge_extra_acc,extra_minus_my_merge,exact_same
vlm,chaoshengmnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,7,0.0,42,,0.11949685534591195,0.13926325247079965,0.019766397124887702,False
vlm,chaoshengmnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,7,0.01,42,,0.18238993710691823,0.16172506738544473,-0.020664869721473494,False
vlm,chaoshengmnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,7,0.1,42,,0.16981132075471697,0.12668463611859837,-0.0431266846361186,False
vlm,dermamnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,3,0.0,42,,0.6758104738154613,0.6673316708229426,-0.008478802992518686,False
vlm,dermamnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,3,0.01,42,,0.6872817955112219,0.6688279301745635,-0.01845386533665838,False
vlm,dermamnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,3,0.1,42,,0.7007481296758105,0.6688279301745635,-0.031920199501246915,False
vlm,dermamnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,5,0.0,42,,0.6693266832917706,0.5007481296758105,-0.16857855361596008,False
vlm,dermamnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,5,0.01,42,,0.6957605985037406,0.05336658354114713,-0.6423940149625935,False
vlm,dermamnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,5,0.1,42,,0.7197007481296758,0.19650872817955112,-0.5231920199501247,False
vlm,dermamnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,7,0.0,42,,0.6688279301745635,0.6688279301745635,0.0,True
vlm,dermamnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,7,0.01,42,,0.6688279301745635,0.6688279301745635,0.0,True
vlm,dermamnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,7,0.1,42,,0.6678304239401496,0.6688279301745635,0.0009975062344139696,False
vlm,organcmnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,3,0.0,42,,0.2671616358325219,0.10418695228821812,-0.16297468354430378,False
vlm,organcmnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,3,0.01,42,,0.5527020447906524,0.09092015579357351,-0.46178188899707895,False
vlm,organcmnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,3,0.1,42,,0.6163583252190847,0.11124634858812074,-0.505111976630964,False
vlm,organcmnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,5,0.0,42,,0.37366114897760466,0.06791626095423564,-0.305744888023369,False
vlm,organcmnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,5,0.01,42,,0.12731256085686465,0.06682083739045765,-0.06049172346640701,False
vlm,organcmnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,5,0.1,42,,0.5417478091528725,0.2370983446932814,-0.30464946445959107,False
vlm,organcmnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,7,0.0,42,,0.18269230769230768,0.09688412852969815,-0.08580817916260954,False
vlm,organcmnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,7,0.01,42,,0.27848101265822783,0.2332035053554041,-0.04527750730282373,False
vlm,organcmnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,7,0.1,42,,0.35455209347614414,0.22334469328140213,-0.131207400194742,False
vlm,organsmnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,3,0.0,42,,0.21468222499150333,0.08270080435028888,-0.13198142064121443,False
vlm,organsmnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,3,0.01,42,,0.32729126543559534,0.31596238812733657,-0.011328877308258767,False
vlm,organsmnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,3,0.1,42,,0.5620256032627167,0.3728333522147955,-0.18919225104792115,False
vlm,organsmnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,5,0.0,42,,0.35368754956383824,0.049733771383255916,-0.30395377818058233,False
vlm,organsmnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,5,0.01,42,,0.3274045542086779,0.09187719496997848,-0.23552735923869944,False
vlm,organsmnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,5,0.1,42,,0.3507420414636909,0.2598844454514558,-0.09085759601223514,False
vlm,organsmnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,7,0.0,42,,0.31358332389260224,0.23541407046561685,-0.07816925342698539,False
vlm,organsmnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,7,0.01,42,,0.22012008609946754,0.0797552962501416,-0.14036478984932593,False
vlm,organsmnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,7,0.1,42,,0.517729692987425,0.10966353234394471,-0.4080661606434803,False
