ablation,task_type,dataset,model,num_clients,beta,seed,selected_candidate,client_index,client_name,prior_weight_pi,diagnostic_weight_alpha_all,medical_weight_alpha_morph
full,small,bloodmnist_224,resnet,7,0.1,42,morphology,2,client_2.pt,0.14285714285714285,0.15703117847442627,0.16313165426254272
full,small,bloodmnist_224,resnet,7,0.1,42,morphology,3,client_3.pt,0.14285714285714285,0.07901714742183685,0.07643548399209976
full,small,bloodmnist_224,resnet,7,0.1,42,morphology,4,client_4.pt,0.14285714285714285,0.12985940277576447,0.11851493269205093
full,small,bloodmnist_224,resnet,7,0.1,42,morphology,5,client_5.pt,0.14285714285714285,0.16298720240592957,0.17076799273490906
full,small,bloodmnist_224,resnet,7,0.1,42,morphology,6,client_6.pt,0.14285714285714285,0.225210502743721,0.23666226863861084
full,small,bloodmnist_224,swin_tiny,3,0.0,42,prototype_head,0,client_0.pt,0.3333333333333333,0.2834748327732086,0.25053682923316956
full,small,bloodmnist_224,swin_tiny,3,0.0,42,prototype_head,1,client_1.pt,0.3333333333333333,0.3654373586177826,0.3551778793334961
full,small,bloodmnist_224,swin_tiny,3,0.0,42,prototype_head,2,client_2.pt,0.3333333333333333,0.3510878086090088,0.3942853510379791
full,small,bloodmnist_224,swin_tiny,3,0.01,42,prototype_head,0,client_0.pt,0.3333333333333333,0.38078123331069946,0.3538993299007416
full,small,bloodmnist_224,swin_tiny,3,0.01,42,prototype_head,1,client_1.pt,0.3333333333333333,0.2660628855228424,0.27066537737846375
full,small,bloodmnist_224,swin_tiny,3,0.01,42,prototype_head,2,client_2.pt,0.3333333333333333,0.35315585136413574,0.37543532252311707
full,small,bloodmnist_224,swin_tiny,3,0.1,42,specialist_client,0,client_0.pt,0.3333333333333333,0.29732683300971985,0.28294479846954346
full,small,bloodmnist_224,swin_tiny,3,0.1,42,specialist_client,1,client_1.pt,0.3333333333333333,0.40519386529922485,0.4340316653251648
full,small,bloodmnist_224,swin_tiny,3,0.1,42,specialist_client,2,client_2.pt,0.3333333333333333,0.2974793314933777,0.28302353620529175
full,small,bloodmnist_224,swin_tiny,5,0.0,42,prototype_head,0,client_0.pt,0.2,0.25249791145324707,0.28812527656555176
full,small,bloodmnist_224,swin_tiny,5,0.0,42,prototype_head,1,client_1.pt,0.2,0.14211425185203552,0.13974319398403168
full,small,bloodmnist_224,swin_tiny,5,0.0,42,prototype_head,2,client_2.pt,0.2,0.13910557329654694,0.12972980737686157
full,small,bloodmnist_224,swin_tiny,5,0.0,42,prototype_head,3,client_3.pt,0.2,0.20369365811347961,0.18298698961734772
full,small,bloodmnist_224,swin_tiny,5,0.0,42,prototype_head,4,client_4.pt,0.2,0.26258864998817444,0.2594147324562073
full,small,bloodmnist_224,swin_tiny,5,0.01,42,prototype_head,0,client_0.pt,0.2,0.18837174773216248,0.1915777325630188
full,small,bloodmnist_224,swin_tiny,5,0.01,42,prototype_head,1,client_1.pt,0.2,0.22448289394378662,0.20333421230316162
full,small,bloodmnist_224,swin_tiny,5,0.01,42,prototype_head,2,client_2.pt,0.2,0.14318038523197174,0.16804297268390656
full,small,bloodmnist_224,swin_tiny,5,0.01,42,prototype_head,3,client_3.pt,0.2,0.22448302805423737,0.20333430171012878
full,small,bloodmnist_224,swin_tiny,5,0.01,42,prototype_head,4,client_4.pt,0.2,0.2194819152355194,0.23371082544326782
full,small,bloodmnist_224,swin_tiny,5,0.1,42,specialist_client,0,client_0.pt,0.2,0.1796981245279312,0.15515778958797455
full,small,bloodmnist_224,swin_tiny,5,0.1,42,specialist_client,1,client_1.pt,0.2,0.23828868567943573,0.23020485043525696
full,small,bloodmnist_224,swin_tiny,5,0.1,42,specialist_client,2,client_2.pt,0.2,0.20802854001522064,0.2206306904554367
full,small,bloodmnist_224,swin_tiny,5,0.1,42,specialist_client,3,client_3.pt,0.2,0.12417608499526978,0.1112094521522522
full,small,bloodmnist_224,swin_tiny,5,0.1,42,specialist_client,4,client_4.pt,0.2,0.24980852007865906,0.28279730677604675
full,small,bloodmnist_224,swin_tiny,7,0.0,42,prototype_head,0,client_0.pt,0.14285714285714285,0.16051596403121948,0.17075735330581665
full,small,bloodmnist_224,swin_tiny,7,0.0,42,prototype_head,1,client_1.pt,0.14285714285714285,0.10177480429410934,0.0957416519522667
full,small,bloodmnist_224,swin_tiny,7,0.0,42,prototype_head,2,client_2.pt,0.14285714285714285,0.09964780509471893,0.08890406042337418
full,small,bloodmnist_224,swin_tiny,7,0.0,42,prototype_head,3,client_3.pt,0.14285714285714285,0.1459220051765442,0.12540678679943085
full,small,bloodmnist_224,swin_tiny,7,0.0,42,prototype_head,4,client_4.pt,0.14285714285714285,0.18811319768428802,0.17778511345386505
full,small,bloodmnist_224,swin_tiny,7,0.0,42,prototype_head,5,client_5.pt,0.14285714285714285,0.18088726699352264,0.19745194911956787
full,small,bloodmnist_224,swin_tiny,7,0.0,42,prototype_head,6,client_6.pt,0.14285714285714285,0.12313899397850037,0.1439531147480011
full,small,bloodmnist_224,swin_tiny,7,0.01,42,prototype_head,0,client_0.pt,0.14285714285714285,0.12923690676689148,0.15787994861602783
full,small,bloodmnist_224,swin_tiny,7,0.01,42,prototype_head,1,client_1.pt,0.14285714285714285,0.1115298643708229,0.11051870137453079
full,small,bloodmnist_224,swin_tiny,7,0.01,42,prototype_head,2,client_2.pt,0.14285714285714285,0.10681474208831787,0.10500422865152359
full,small,bloodmnist_224,swin_tiny,7,0.01,42,prototype_head,3,client_3.pt,0.14285714285714285,0.1974286586046219,0.194985032081604
full,small,bloodmnist_224,swin_tiny,7,0.01,42,prototype_head,4,client_4.pt,0.14285714285714285,0.10464220494031906,0.09755749255418777
full,small,bloodmnist_224,swin_tiny,7,0.01,42,prototype_head,5,client_5.pt,0.14285714285714285,0.15291377902030945,0.1390085071325302
full,small,bloodmnist_224,swin_tiny,7,0.01,42,prototype_head,6,client_6.pt,0.14285714285714285,0.19743382930755615,0.19504603743553162
full,small,bloodmnist_224,swin_tiny,7,0.1,42,specialist_client,0,client_0.pt,0.14285714285714285,0.178199902176857,0.18340551853179932
full,small,bloodmnist_224,swin_tiny,7,0.1,42,specialist_client,1,client_1.pt,0.14285714285714285,0.13821369409561157,0.1292433738708496
full,small,bloodmnist_224,swin_tiny,7,0.1,42,specialist_client,2,client_2.pt,0.14285714285714285,0.14091213047504425,0.1333637535572052
full,small,bloodmnist_224,swin_tiny,7,0.1,42,specialist_client,3,client_3.pt,0.14285714285714285,0.09450440108776093,0.09170746058225632
full,small,bloodmnist_224,swin_tiny,7,0.1,42,specialist_client,4,client_4.pt,0.14285714285714285,0.1383029818534851,0.12928490340709686
full,small,bloodmnist_224,swin_tiny,7,0.1,42,specialist_client,5,client_5.pt,0.14285714285714285,0.17155683040618896,0.20370332896709442
full,small,bloodmnist_224,swin_tiny,7,0.1,42,specialist_client,6,client_6.pt,0.14285714285714285,0.13831007480621338,0.1292915642261505
full,small,bloodmnist_224,vit_t,3,0.0,42,prototype_head,0,client_0.pt,0.3333333333333333,0.41947466135025024,0.4038728177547455
full,small,bloodmnist_224,vit_t,3,0.0,42,prototype_head,1,client_1.pt,0.3333333333333333,0.2926505506038666,0.30841153860092163
full,small,bloodmnist_224,vit_t,3,0.0,42,prototype_head,2,client_2.pt,0.3333333333333333,0.28787484765052795,0.2877156138420105
full,small,bloodmnist_224,vit_t,3,0.01,42,prototype_head,0,client_0.pt,0.3333333333333333,0.4199817180633545,0.4043456017971039
full,small,bloodmnist_224,vit_t,3,0.01,42,prototype_head,1,client_1.pt,0.3333333333333333,0.2932082414627075,0.3089931607246399
full,small,bloodmnist_224,vit_t,3,0.01,42,prototype_head,2,client_2.pt,0.3333333333333333,0.286810040473938,0.2866612374782562
full,small,bloodmnist_224,vit_t,3,0.1,42,prototype_head,0,client_0.pt,0.3333333333333333,0.3964542746543884,0.3834705054759979
full,small,bloodmnist_224,vit_t,3,0.1,42,prototype_head,1,client_1.pt,0.3333333333333333,0.27287155389785767,0.31884875893592834
full,small,bloodmnist_224,vit_t,3,0.1,42,prototype_head,2,client_2.pt,0.3333333333333333,0.3306741714477539,0.29768073558807373
full,small,bloodmnist_224,vit_t,5,0.0,42,specialist_client,0,client_0.pt,0.2,0.22869060933589935,0.25488242506980896
full,small,bloodmnist_224,vit_t,5,0.0,42,specialist_client,1,client_1.pt,0.2,0.14658688008785248,0.14621864259243011
