module,x_symbol,x_value,curve_symbol,curve_value,task_type,dataset,model,num_clients,client_average_acc
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,dermamnist_224,resnet,7,0.6763092269326684
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,dermamnist_224,swin_tiny,3,0.6300914380714879
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,dermamnist_224,swin_tiny,5,0.6294264339152119
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,dermamnist_224,swin_tiny,7,0.62809642560266
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,dermamnist_224,vit_t,3,0.5918536990856192
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,dermamnist_224,vit_t,5,0.5881961762261014
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,dermamnist_224,vit_t,7,0.599501246882793
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,organcmnist_224,convnext,3,0.6453261927945472
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,organcmnist_224,convnext,5,0.6451233365790328
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,organcmnist_224,convnext,7,0.6456101914962674
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,organcmnist_224,resnet,3,0.5984258357676079
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,organcmnist_224,resnet,5,0.5926647192469977
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,organcmnist_224,resnet,7,0.590392729633236
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,organcmnist_224,swin_tiny,3,0.6808666017526778
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,organcmnist_224,swin_tiny,5,0.6747403440441415
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,organcmnist_224,swin_tiny,7,0.674212917883804
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,organcmnist_224,vit_t,3,0.5855241804608893
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,organcmnist_224,vit_t,5,0.5773693605972087
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,organcmnist_224,vit_t,7,0.5791544952937357
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,organsmnist_224,convnext,3,0.6047354707148521
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,organsmnist_224,convnext,5,0.6023564064801178
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,organsmnist_224,convnext,7,0.6048487594879347
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,organsmnist_224,resnet,3,0.5313998716060572
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,organsmnist_224,resnet,5,0.5306068501944791
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,organsmnist_224,resnet,7,0.5210528303311809
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,organsmnist_224,swin_tiny,3,0.6219553642234055
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,organsmnist_224,swin_tiny,5,0.6243344284581398
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,organsmnist_224,swin_tiny,7,0.6245232430799441
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,organsmnist_224,vit_t,3,0.542162305048903
