module,x_symbol,x_value,curve_symbol,curve_value,root,raw_cells,raw_mean_acc,client_average_cells,client_average_mean_acc
long-tail prevalence calibration,lambda,6.0,tau,2.5,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_2p5_lambda_6p0,180,0.6207329200311656,60,0.6207329200311656
long-tail prevalence calibration,lambda,4.0,tau,3.0,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_3p0_lambda_4p0,180,0.6180468354641178,60,0.6180468354641178
long-tail prevalence calibration,lambda,4.5,tau,3.0,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_3p0_lambda_4p5,180,0.6192576971986703,60,0.6192576971986703
long-tail prevalence calibration,lambda,5.0,tau,3.0,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_3p0_lambda_5p0,180,0.6204048293682464,60,0.6204048293682464
long-tail prevalence calibration,lambda,5.5,tau,3.0,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_3p0_lambda_5p5,180,0.621468836018288,60,0.621468836018288
long-tail prevalence calibration,lambda,6.0,tau,3.0,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_3p0_lambda_6p0,180,0.622006381044611,60,0.622006381044611
long-tail prevalence calibration,lambda,4.0,tau,3.5,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_3p5_lambda_4p0,180,0.6180559744503219,60,0.6180559744503219
long-tail prevalence calibration,lambda,4.5,tau,3.5,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_3p5_lambda_4p5,180,0.619270940114497,60,0.619270940114497
long-tail prevalence calibration,lambda,5.0,tau,3.5,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_3p5_lambda_5p0,180,0.6204122674294819,60,0.6204122674294819
long-tail prevalence calibration,lambda,5.5,tau,3.5,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_3p5_lambda_5p5,180,0.621468836018288,60,0.621468836018288
long-tail prevalence calibration,lambda,6.0,tau,3.5,outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_3p5_lambda_6p0,180,0.622006381044611,60,0.622006381044611
