task_type,dataset,model,num_clients,LAMP-Merge,M1 only,avg+M2,avg,best_value,best_variants,lamp_minus_avg,m1_minus_avg,avg_m2_minus_avg
small,chaoshengmnist_224,resnet,5,0.4761904761904761,0.4761904761904761,0.15813117699910154,0.1581,0.4761904761904761,LAMP-Merge;M1 only,0.31809047619047615,0.31809047619047615,3.1176999101545366e-05
small,chaoshengmnist_224,resnet,7,0.4761904761904761,0.4761904761904761,0.1542377957472297,0.15423333333333333,0.4761904761904761,LAMP-Merge;M1 only,0.3219571428571428,0.3219571428571428,4.462413896372253e-06
small,chaoshengmnist_224,swin_tiny,3,0.481581311769991,0.481581311769991,0.1527403414195867,0.15273333333333336,0.481581311769991,LAMP-Merge;M1 only,0.3288479784366577,0.3288479784366577,7.008086253340595e-06
small,chaoshengmnist_224,swin_tiny,5,0.481581311769991,0.481581311769991,0.1293800539083558,0.12936666666666666,0.481581311769991,LAMP-Merge;M1 only,0.35221464510332434,0.35221464510332434,1.3387241689144513e-05
small,chaoshengmnist_224,swin_tiny,7,0.481581311769991,0.481581311769991,0.14645103324348607,0.14643333333333333,0.481581311769991,LAMP-Merge;M1 only,0.33514797843665767,0.33514797843665767,1.769991015274086e-05
small,chaoshengmnist_224,vit_t,3,0.46451033243486073,0.46451033243486073,0.14495357891584307,0.1449666666666667,0.46451033243486073,LAMP-Merge;M1 only,0.31954366576819404,0.31954366576819404,-1.3087750823620459e-05
small,chaoshengmnist_224,vit_t,5,0.46451033243486073,0.46451033243486073,0.1323749625636418,0.13266666666666668,0.46451033243486073,LAMP-Merge;M1 only,0.331843665768194,0.331843665768194,-0.00029170410302487015
small,chaoshengmnist_224,vit_t,7,0.46451033243486073,0.46451033243486073,0.18837975441749025,0.18836666666666668,0.46451033243486073,LAMP-Merge;M1 only,0.27614366576819405,0.27614366576819405,1.3087750823564948e-05
small,dermamnist_224,convnext,3,0.599168744804655,0.43458021612635084,0.29659185369908564,0.29656666666666665,0.599168744804655,LAMP-Merge,0.30260207813798834,0.1380135494596842,2.5187032418994004e-05
small,dermamnist_224,convnext,5,0.5920199501246882,0.43358270989193687,0.4829592684954281,0.48293333333333327,0.5920199501246882,LAMP-Merge,0.10908661679135495,-0.0493506234413964,2.59351620948145e-05
small,dermamnist_224,convnext,7,0.5852036575228595,0.43208645054031586,0.6688279301745635,0.6688,0.6688279301745635,avg+M2,-0.08359634247714043,-0.2367135494596841,2.7930174563595145e-05
small,dermamnist_224,resnet,3,0.6744804655029094,0.43258520365752284,0.629093931837074,0.6290666666666667,0.6744804655029094,LAMP-Merge,0.04541379883624275,-0.19648146300914382,2.7265170407297923e-05
small,dermamnist_224,resnet,5,0.6761429758935993,0.43374896093100584,0.2924355777223608,0.47000000000000003,0.6761429758935993,LAMP-Merge,0.20614297589359926,-0.036251039068994184,-0.17756442227763924
small,dermamnist_224,resnet,7,0.6763092269326684,0.43424771404821283,0.6244389027431422,0.6244333333333333,0.6763092269326684,LAMP-Merge,0.05187589359933509,-0.19018561928512046,5.56940980889209e-06
small,dermamnist_224,swin_tiny,3,0.6374064837905237,0.47032418952618454,0.456857855361596,0.45683333333333326,0.6374064837905237,LAMP-Merge,0.1805731504571904,0.013490856192851286,2.4522028262752293e-05
small,dermamnist_224,swin_tiny,5,0.6251039068994181,0.46816292601828763,0.29709060681629257,0.48293333333333327,0.6251039068994181,LAMP-Merge,0.1421705735660848,-0.014770407315045642,-0.1858427265170407
small,dermamnist_224,swin_tiny,7,0.6244389027431422,0.46749792186201167,0.6688279301745635,0.6688,0.6688279301745635,avg+M2,-0.04436109725685777,-0.20130207813798828,2.7930174563595145e-05
small,dermamnist_224,vit_t,3,0.5970074812967582,0.513050706566916,0.46384039900249374,0.4638333333333333,0.5970074812967582,LAMP-Merge,0.13317414796342486,0.04921737323358266,7.065669160422061e-06
small,dermamnist_224,vit_t,5,0.5938487115544472,0.5123857024106401,0.47630922693266836,0.4369,0.5938487115544472,LAMP-Merge,0.15694871155444717,0.07548570241064007,0.03940922693266835
small,dermamnist_224,vit_t,7,0.5860349127182044,0.5120532003325021,0.4802992518703242,0.36956666666666665,0.5860349127182044,LAMP-Merge,0.21646824605153775,0.14248653366583547,0.11073258520365753
small,organcmnist_224,convnext,3,0.6482067510548523,0.6486124634858812,0.10365952612788056,0.10366666666666667,0.6486124634858812,M1 only,0.5445400843881856,0.5449457968192145,-7.140538786115647e-06
small,organcmnist_224,convnext,5,0.6480444660824408,0.6483284647841611,0.1217543005517689,0.12176666666666665,0.6483284647841611,M1 only,0.5262777994157741,0.5265617981174944,-1.2366114897743863e-05
small,organcmnist_224,convnext,7,0.6495456020772475,0.6498296007789679,0.09444985394352483,0.09446666666666666,0.6498296007789679,M1 only,0.5550789354105808,0.5553629341123012,-1.6812723141829133e-05
small,organcmnist_224,resnet,3,0.6073920804933463,0.6074326517364491,0.2261441090555015,0.2261333333333333,0.6074326517364491,M1 only,0.38125874716001296,0.3812993184031158,1.0775722168204771e-05
small,organcmnist_224,resnet,5,0.6069457968192146,0.607148653034729,0.17717461863031483,0.1771666666666667,0.607148653034729,M1 only,0.4297791301525479,0.4299819863680623,7.951963648139548e-06
small,organcmnist_224,resnet,7,0.6075543654657579,0.607513794222655,0.1396462187601428,0.13963333333333336,0.6075543654657579,LAMP-Merge,0.46792103213242453,0.46788046088932156,1.288542680943916e-05
small,organcmnist_224,swin_tiny,3,0.665084388185654,0.6642323920804932,0.10682408308990589,0.1068,0.665084388185654,LAMP-Merge,0.558284388185654,0.5574323920804932,2.4083089905882482e-05
small,organcmnist_224,swin_tiny,5,0.6632181110029212,0.6637049659201558,0.12938169425511198,0.1294,0.6637049659201558,M1 only,0.5338181110029212,0.5343049659201559,-1.8305744888008624e-05
small,organcmnist_224,swin_tiny,7,0.6629746835443039,0.6631369685167154,0.07874878286270691,0.07876666666666667,0.6631369685167154,M1 only,0.5842080168776372,0.5843703018500488,-1.7883803959756195e-05
small,organcmnist_224,vit_t,3,0.5804527750730283,0.5799253489126907,0.16569295683219734,0.1657,0.5804527750730283,LAMP-Merge,0.4147527750730283,0.4142253489126907,-7.043167802645023e-06
small,organcmnist_224,vit_t,5,0.5789922103213242,0.5789516390782213,0.1043086660175268,0.1043,0.5789922103213242,LAMP-Merge,0.4746922103213242,0.47465163907822133,8.66601752678997e-06
small,organcmnist_224,vit_t,7,0.5789516390782213,0.57907335280753,0.0952207075624797,0.09516666666666666,0.57907335280753,M1 only,0.48378497241155466,0.48390668614086335,5.404089581304006e-05
small,organsmnist_224,convnext,3,0.5976738038593709,0.5978248555568143,0.13081076998602773,0.1308,0.5978248555568143,M1 only,0.46687380385937083,0.4670248555568143,1.0769986027725498e-05
small,organsmnist_224,convnext,5,0.5985045881953098,0.5988066915901967,0.10347041274876327,0.10346666666666667,0.5988066915901967,M1 only,0.4950379215286432,0.4953400249235301,3.746082096606207e-06
small,organsmnist_224,convnext,7,0.598995506212001,0.5987689286658359,0.1416109663532344,0.14163333333333333,0.598995506212001,LAMP-Merge,0.4573621728786677,0.45713559533250253,-2.2366980098942335e-05
small,organsmnist_224,resnet,3,0.5531135531135531,0.5528492126430271,0.2863562554284204,0.28633333333333333,0.5531135531135531,LAMP-Merge,0.2667802197802198,0.2665158793096938,2.2922095087085648e-05
small,organsmnist_224,resnet,5,0.5524338204750576,0.5526226350968619,0.17941165363845776,0.1794,0.5526226350968619,M1 only,0.3730338204750576,0.37322263509686193,1.1653638457759241e-05
small,organsmnist_224,resnet,7,0.5517163249122012,0.5520184283070881,0.247460443336732,0.2474333333333333,0.5520184283070881,M1 only,0.30428299157886796,0.30458509497375486,2.711000339869485e-05
small,organsmnist_224,swin_tiny,3,0.6077942675880821,0.6084740002265776,0.06816207847135682,0.06816666666666667,0.6084740002265776,M1 only,0.5396276009214154,0.5403073335599109,-4.588195309851439e-06
small,organsmnist_224,swin_tiny,5,0.6076432158906385,0.6070012461765039,0.060382916053019146,0.06039999999999999,0.6076432158906385,LAMP-Merge,0.5472432158906385,0.5466012461765039,-1.7083946980842035e-05
small,organsmnist_224,swin_tiny,7,0.6067746686303387,0.6068501944790604,0.13813677731203505,0.13813333333333336,0.6068501944790604,M1 only,0.46864133529700536,0.4687168611457271,3.443978701694883e-06
small,organsmnist_224,vit_t,3,0.5406140251501076,0.540236395906499,0.08440013594652769,0.08443333333333332,0.5406140251501076,LAMP-Merge,0.4561806918167743,0.45580306257316566,-3.319738680562789e-05
small,organsmnist_224,vit_t,5,0.53721536195763,0.5372531248819908,0.08515539443374494,0.0852,0.5372531248819908,M1 only,0.45201536195763,0.45205312488199084,-4.460556625505985e-05
small,organsmnist_224,vit_t,7,0.5388391677051471,0.5390657452513122,0.17095275858162454,0.17096666666666668,0.5390657452513122,M1 only,0.36787250103848035,0.3680990785846455,-1.3908085042146912e-05
vlm,bloodmnist_224,openai/clip-vit-base-patch32,3,0.3908213972522654,0.3908213972522654,0.28100945142745787,0.18569999999999998,0.3908213972522654,LAMP-Merge;M1 only,0.2051213972522654,0.2051213972522654,0.09530945142745789
vlm,bloodmnist_224,openai/clip-vit-base-patch32,5,0.2678554029036344,0.2678554029036344,0.08564747149956153,0.11993333333333335,0.2678554029036344,LAMP-Merge;M1 only,0.14792206957030107,0.14792206957030107,-0.034285861833771816
vlm,bloodmnist_224,openai/clip-vit-base-patch32,7,0.2482704862126084,0.2482704862126084,0.16632563577901197,0.18630000000000002,0.2482704862126084,LAMP-Merge;M1 only,0.06197048621260837,0.06197048621260837,-0.019974364220988056
vlm,chaoshengmnist_224,openai/clip-vit-base-patch32,3,0.19466906259359087,0.19466906259359087,0.1778975741239892,0.16023333333333334,0.19466906259359087,LAMP-Merge;M1 only,0.034435729260257536,0.034435729260257536,0.017664240790655872
vlm,chaoshengmnist_224,openai/clip-vit-base-patch32,5,0.16082659478885894,0.16082659478885894,0.13566936208445643,0.1282,0.16082659478885894,LAMP-Merge;M1 only,0.03262659478885893,0.03262659478885893,0.007469362084456421
vlm,chaoshengmnist_224,openai/clip-vit-base-patch32,7,0.16022761305780173,0.16022761305780173,0.13626834381551362,0.1087,0.16022761305780173,LAMP-Merge;M1 only,0.05152761305780172,0.05152761305780172,0.02756834381551361
vlm,dermamnist_224,openai/clip-vit-base-patch32,3,0.5645885286783042,0.5645885286783042,0.6686616791354946,0.6688,0.6688,avg,-0.10421147132169573,-0.10421147132169573,-0.00013832086450538128
vlm,dermamnist_224,openai/clip-vit-base-patch32,5,0.6846217788861181,0.6846217788861181,0.1945137157107232,0.6688,0.6846217788861181,LAMP-Merge;M1 only,0.015821778886118132,0.015821778886118132,-0.47428628428927677
vlm,dermamnist_224,openai/clip-vit-base-patch32,7,0.6688279301745635,0.6688279301745635,0.6688279301745635,0.5682333333333333,0.6688279301745635,LAMP-Merge;M1 only;avg+M2,0.10059459684123029,0.10059459684123029,0.10059459684123029
vlm,organcmnist_224,openai/clip-vit-base-patch32,3,0.4459996754300552,0.4459996754300552,0.10946121389159365,0.23606666666666667,0.4459996754300552,LAMP-Merge;M1 only,0.20993300876338852,0.20993300876338852,-0.126605452775073
vlm,organcmnist_224,openai/clip-vit-base-patch32,5,0.22415611814345993,0.22415611814345993,0.12017202207075624,0.1348,0.22415611814345993,LAMP-Merge;M1 only,0.08935611814345992,0.08935611814345992,-0.014627977929243766
vlm,organcmnist_224,openai/clip-vit-base-patch32,7,0.14678675754625123,0.14678675754625123,0.22326355079519636,0.12256666666666667,0.22326355079519636,avg+M2,0.024220090879584558,0.024220090879584558,0.10069688412852969
vlm,organsmnist_224,openai/clip-vit-base-patch32,3,0.26702163815565877,0.26702163815565877,0.2318265926513349,0.2978,0.2978,avg,-0.03077836184434124,-0.03077836184434124,-0.06597340734866511
vlm,organsmnist_224,openai/clip-vit-base-patch32,5,0.22959858011404402,0.22959858011404402,0.13386956685925758,0.09263333333333333,0.22959858011404402,LAMP-Merge;M1 only,0.1369652467807107,0.1369652467807107,0.041236233525924246
vlm,organsmnist_224,openai/clip-vit-base-patch32,7,0.2557682866961217,0.2557682866961217,0.14142215173143008,0.14476666666666668,0.2557682866961217,LAMP-Merge;M1 only,0.11100162002945504,0.11100162002945504,-0.0033445149352366033
