task_type,dataset,model,num_clients,Binary support only,Classifier-head aggregation,Global client-size weight,Global-feature mean,LAMP-Merge,M1 only,No prevalence calibration,Shuffled-label prototype,Smoothed prevalence prior,Support-only synthetic head,Uniform client weight,Uniform prevalence prior,avg,best_value,best_methods
small,dermamnist_224,resnet,7,0.4726517040731505,0.6688279301745635,0.6683291770573566,0.6688279301745635,0.6731504571903575,0.4457190357439734,0.4455527847049044,0.5973399833748961,0.6729842061512884,0.27032418952618453,0.6726517040731504,0.4455527847049044,0.6244333333333333,0.6731504571903575,LAMP-Merge
small,dermamnist_224,swin_tiny,3,0.47281795511221947,0.625436408977556,0.6382377389858687,0.6688279301745635,0.6392352452202826,0.4696591853699086,0.4693266832917706,0.26633416458852865,0.6400665004156276,0.3082294264339152,0.6387364921030756,0.4693266832917706,0.4568333333333333,0.6688279301745635,Global-feature mean
small,dermamnist_224,swin_tiny,5,0.34364089775561096,0.570074812967581,0.6399002493765586,0.6688279301745635,0.6402327514546966,0.46500415627597674,0.4648379052369077,0.25519534497090607,0.6395677472984206,0.3082294264339152,0.49343308395677477,0.4648379052369077,0.4829333333333333,0.6688279301745635,Global-feature mean
small,dermamnist_224,swin_tiny,7,0.5088944305901912,0.6683291770573566,0.6468827930174563,0.6688279301745635,0.6394014962593516,0.4774729842061513,0.4769742310889443,0.27780548628428925,0.6395677472984206,0.3082294264339152,0.6453865336658354,0.4769742310889443,0.6688,0.6688279301745635,Global-feature mean
small,dermamnist_224,vit_t,3,0.514713216957606,0.4914380714879468,0.5965087281795511,0.6688279301745635,0.6013300083125519,0.5188694929343308,0.5188694929343308,0.15095594347464672,0.601330008312552,0.08528678304239401,0.5941812136325852,0.5188694929343308,0.4638333333333333,0.6688279301745635,Global-feature mean
small,dermamnist_224,vit_t,5,0.45187032418952616,0.4134663341645885,0.599833748960931,0.6688279301745635,0.6011637572734829,0.5098919368246052,0.5097256857855362,0.1541147132169576,0.600831255195345,0.08528678304239401,0.5359933499584373,0.5097256857855362,0.4369,0.6688279301745635,Global-feature mean
small,dermamnist_224,vit_t,7,0.5285120532003326,0.4217788861180382,0.6103075644222776,0.6688279301745635,0.6061512884455528,0.5206982543640898,0.5206982543640898,0.14447215295095595,0.6058187863674148,0.08528678304239401,0.6054862842892768,0.5206982543640898,0.3695666666666667,0.6688279301745635,Global-feature mean
small,organcmnist_224,convnext,3,0.5678351184680299,0.15680785459266472,0.594733852645245,0.22334469328140213,0.6522638753651412,0.64690847127556,0.6466650438169426,0.0988721194417397,0.6525073028237585,0.10163096397273612,0.5743670886075949,0.6466650438169426,0.10366666666666667,0.6525073028237585,Smoothed prevalence prior
small,organcmnist_224,convnext,5,0.597289840960727,0.19368711457319052,0.6070269393054203,0.22334469328140213,0.6500324569944823,0.6454884777669588,0.6453261927945473,0.10033268419344368,0.6500730282375852,0.10163096397273612,0.6010223953261928,0.6453261927945473,0.12176666666666666,0.6500730282375852,Smoothed prevalence prior
small,organcmnist_224,convnext,7,0.6002109704641351,0.17616033755274263,0.6107594936708861,0.22334469328140213,0.6517364492048037,0.6472330412203829,0.6471113274910744,0.09956183057448881,0.6516958779617007,0.10163096397273612,0.6034160986692633,0.6471113274910744,0.09446666666666667,0.6517364492048037,LAMP-Merge
small,organcmnist_224,resnet,3,0.5548928919182083,0.15761927945472248,0.5647922752353132,0.22334469328140213,0.5933138591366439,0.607838364167478,0.6080817916260954,0.2259818240830899,0.5935572865952613,0.06767283349561831,0.562682570593963,0.6080817916260954,0.22613333333333333,0.6080817916260954,No prevalence calibration;Uniform prevalence prior
small,organcmnist_224,resnet,5,0.5559071729957806,0.17895975332684194,0.5505923401493023,0.22334469328140213,0.5908795845504706,0.6079600778967867,0.6081223628691983,0.2237909769555339,0.5913664394677053,0.06767283349561831,0.5439386562804285,0.6081223628691983,0.17716666666666667,0.6081223628691983,No prevalence calibration;Uniform prevalence prior
small,organcmnist_224,resnet,7,0.5750567997403441,0.15173644920480364,0.5590717299578059,0.22334469328140213,0.5906767283349562,0.6056475170399221,0.606053229470951,0.2252921129503408,0.5908390133073677,0.06767283349561831,0.5574488802336903,0.606053229470951,0.13963333333333333,0.606053229470951,No prevalence calibration;Uniform prevalence prior
small,organcmnist_224,swin_tiny,3,0.5966001298279779,0.23726062966569295,0.6383885102239533,0.22334469328140213,0.6848020123336579,0.666179811749432,0.6660580980201233,0.1340068159688413,0.6850860110353781,0.06097857838364167,0.6185086011035378,0.6660580980201233,0.1068,0.6850860110353781,Smoothed prevalence prior
small,organcmnist_224,swin_tiny,5,0.6193200259655955,0.2381531970139565,0.6405793573515093,0.22334469328140213,0.6815563128854268,0.663258682246024,0.6631775397598182,0.1311262577085362,0.6815563128854268,0.06097857838364167,0.6308828302499189,0.6631775397598182,0.12940000000000002,0.6815563128854268,LAMP-Merge;Smoothed prevalence prior
small,organcmnist_224,swin_tiny,7,0.6204154495293736,0.23117494320025964,0.6349399545602077,0.22334469328140213,0.6803391755923401,0.6619198312236287,0.6618792599805258,0.13441252839987017,0.680420318078546,0.06097857838364167,0.6289354105809802,0.6618792599805258,0.07876666666666667,0.680420318078546,Smoothed prevalence prior
small,organcmnist_224,vit_t,3,0.5476712106458942,0.12844855566374552,0.55688088283025,0.22334469328140213,0.5863356053229472,0.5820756247971438,0.5818321973385264,0.12098344693281401,0.5866601752677701,0.0558666017526777,0.5529860434923726,0.5818321973385264,0.16570000000000001,0.5866601752677701,Smoothed prevalence prior
small,organcmnist_224,vit_t,5,0.5472249269717624,0.1540490100616683,0.5524991885751379,0.22334469328140213,0.581264199935086,0.5770447906523856,0.5766796494644596,0.1210240181759169,0.5814264849074976,0.0558666017526777,0.5509169100941252,0.5766796494644596,0.1043,0.5814264849074976,Smoothed prevalence prior
small,organcmnist_224,vit_t,7,0.5604105809802012,0.1447176241480039,0.5683219733852646,0.22334469328140213,0.5811019149626745,0.5768013631937683,0.5765579357351509,0.12122687439143136,0.5810207724764687,0.0558666017526777,0.5643459915611815,0.5765579357351509,0.09516666666666668,0.5811019149626745,LAMP-Merge
small,organsmnist_224,convnext,3,0.5378195687474038,0.21037725161436502,0.5472225369132586,0.23541407046561685,0.6061704618405649,0.5988066915901967,0.5986934028171141,0.13292549375023602,0.6062459876892866,0.1097768211170273,0.5484309504928062,0.5986934028171141,0.1308,0.6062459876892866,Smoothed prevalence prior
small,organsmnist_224,convnext,5,0.5230165023979457,0.17790113666402327,0.5530002643404706,0.23541407046561685,0.6057173067482345,0.596805256599071,0.5966919678259884,0.1298289339526453,0.6062082247649258,0.1097768211170273,0.5316642120765832,0.5966919678259884,0.10346666666666667,0.6062082247649258,Smoothed prevalence prior
small,organsmnist_224,convnext,7,0.5643291416487293,0.15452588648464938,0.568256485782259,0.23541407046561685,0.6071900607983082,0.5992220837581662,0.5991087949850836,0.13228352403610136,0.6067369057059778,0.1097768211170273,0.5736943468902231,0.5991087949850836,0.14163333333333333,0.6071900607983082,LAMP-Merge
small,organsmnist_224,resnet,3,0.5235829462633587,0.218345228654507,0.5030021524866886,0.23541407046561685,0.5198066538272724,0.5525093463237793,0.5521694800045316,0.27400777916241836,0.519655602129829,0.0617423813300102,0.5033042558815755,0.5521694800045316,0.28633333333333333,0.5525093463237793,M1 only
small,organsmnist_224,resnet,5,0.5138778747026169,0.17869415807560138,0.4884634266077565,0.23541407046561685,0.5191646841131378,0.5503946225595711,0.5500547562403233,0.27381896454061405,0.5193157358105812,0.0617423813300102,0.5008874287224803,0.5500547562403233,0.1794,0.5503946225595711,M1 only
small,organsmnist_224,resnet,7,0.5156527321475775,0.13496469166572259,0.4907292020694083,0.23541407046561685,0.513349193761565,0.5495638382236321,0.5494883123749104,0.27430988255730526,0.513613534232091,0.0617423813300102,0.49012499527963443,0.5494883123749104,0.24743333333333334,0.5495638382236321,M1 only
small,organsmnist_224,swin_tiny,3,0.5487330538876931,0.26403836713115064,0.5696537139836109,0.23541407046561685,0.6259582342056569,0.6068124315546995,0.6068501944790604,0.1542993089384842,0.6260715229787395,0.07057890563045202,0.5719950152939843,0.6068501944790604,0.06816666666666667,0.6260715229787395,Smoothed prevalence prior
small,organsmnist_224,swin_tiny,5,0.5551905139534006,0.2690985989955062,0.5824175824175825,0.23541407046561685,0.6278086174993391,0.6102110947471773,0.6103999093689816,0.1547147011064537,0.6276953287262566,0.07057890563045202,0.578112609040444,0.6103999093689816,0.060399999999999995,0.6278086174993391,LAMP-Merge
small,organsmnist_224,swin_tiny,7,0.5724859333106755,0.20852686832068273,0.5861561119293078,0.23541407046561685,0.6285261130621955,0.6112684566292814,0.6109663532343945,0.15614969223216646,0.6284883501378347,0.07057890563045202,0.5919716022808806,0.6109663532343945,0.13813333333333333,0.6285261130621955,LAMP-Merge
small,organsmnist_224,vit_t,3,0.5139534005513386,0.14769079717533326,0.5192779728862202,0.23541407046561685,0.5431819040066462,0.5380083833692081,0.5378573316717646,0.11423284619160907,0.543521770325894,0.07137192704203013,0.5197311279785506,0.5378573316717646,0.08443333333333333,0.543521770325894,Smoothed prevalence prior
small,organsmnist_224,vit_t,5,0.50700502246894,0.19402590536611156,0.5058721347381141,0.23541407046561685,0.5458630716362675,0.5397454778898078,0.5397454778898078,0.11260904044409199,0.5457497828631849,0.07137192704203013,0.5135380083833692,0.5397454778898078,0.0852,0.5458630716362675,LAMP-Merge
small,organsmnist_224,vit_t,7,0.5147086590385559,0.12480646501265058,0.5193912616593028,0.23541407046561685,0.546807144745289,0.5406517880744685,0.5406517880744685,0.1134020618556701,0.5469581964427325,0.07137192704203013,0.5208262527850156,0.5406517880744685,0.17096666666666668,0.5469581964427325,Smoothed prevalence prior
