dataset,task_type,backbone,method,num_clients,beta,merged_accuracy,best_client_accuracy_proxy,delta_accuracy,best_client_id,best_client_val_acc,source
bloodmnist,small,convnext,ties,7,0.1,0.182400,0.414791,-0.232391,5,0.421729,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,dare_linear,3,0,0.194700,0.194680,0.000020,1,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,dare_linear,3,0.01,0.194700,0.331774,-0.137074,0,0.331192,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,dare_linear,3,0.1,0.137400,0.745981,-0.608581,0,0.754089,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,dare_linear,5,0,0.083000,0.194680,-0.111680,4,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,dare_linear,5,0.01,0.071000,0.409237,-0.338237,4,0.409463,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,dare_linear,5,0.1,0.182400,0.194680,-0.012280,1,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,dare_linear,7,0,0.137400,0.194680,-0.057280,4,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,dare_linear,7,0.01,0.194700,0.418883,-0.224183,6,0.421729,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,dare_linear,7,0.1,0.071300,0.414791,-0.343491,5,0.421729,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,dare_ties,3,0,0.071300,0.194680,-0.123380,1,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,dare_ties,3,0.01,0.182400,0.331774,-0.149374,0,0.331192,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,dare_ties,3,0.1,0.075100,0.745981,-0.670881,0,0.754089,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,dare_ties,5,0,0.090900,0.194680,-0.103780,4,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,dare_ties,5,0.01,0.182400,0.409237,-0.226837,4,0.409463,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,dare_ties,5,0.1,0.182400,0.194680,-0.012280,1,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,dare_ties,7,0,0.137400,0.194680,-0.057280,4,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,dare_ties,7,0.01,0.129200,0.418883,-0.289683,6,0.421729,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,dare_ties,7,0.1,0.182400,0.414791,-0.232391,5,0.421729,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,regmean,3,0,0.194700,0.194680,0.000020,1,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,regmean,3,0.01,0.137400,0.331774,-0.194374,0,0.331192,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,regmean,3,0.1,0.137400,0.745981,-0.608581,0,0.754089,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,regmean,5,0,0.090900,0.194680,-0.103780,4,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,regmean,5,0.01,0.071000,0.409237,-0.338237,4,0.409463,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,regmean,5,0.1,0.083000,0.194680,-0.111680,1,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,regmean,7,0,0.169200,0.194680,-0.025480,4,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,regmean,7,0.01,0.137400,0.418883,-0.281483,6,0.421729,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,regmean,7,0.1,0.250200,0.414791,-0.164591,5,0.421729,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,fisher,3,0,0.194700,0.194680,0.000020,1,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,fisher,3,0.01,0.137400,0.331774,-0.194374,0,0.331192,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,fisher,3,0.1,0.137400,0.745981,-0.608581,0,0.754089,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,fisher,5,0,0.137400,0.194680,-0.057280,4,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,fisher,5,0.01,0.071300,0.409237,-0.337937,4,0.409463,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,fisher,5,0.1,0.090900,0.194680,-0.103780,1,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,fisher,7,0,0.071000,0.194680,-0.123680,4,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,fisher,7,0.01,0.194700,0.418883,-0.224183,6,0.421729,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,fisher,7,0.1,0.090900,0.414791,-0.323891,5,0.421729,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,breadcrumbs,3,0,0.169200,0.194680,-0.025480,1,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,breadcrumbs,3,0.01,0.194700,0.331774,-0.137074,0,0.331192,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,breadcrumbs,3,0.1,0.090900,0.745981,-0.655081,0,0.754089,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,breadcrumbs,5,0,0.169200,0.194680,-0.025480,4,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,breadcrumbs,5,0.01,0.169200,0.409237,-0.240037,4,0.409463,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,breadcrumbs,5,0.1,0.071300,0.194680,-0.123380,1,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,breadcrumbs,7,0,0.071300,0.194680,-0.123380,4,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,breadcrumbs,7,0.01,0.083000,0.418883,-0.335883,6,0.421729,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,breadcrumbs,7,0.1,0.194700,0.414791,-0.220091,5,0.421729,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,model_stock,3,0,0.194700,0.194680,0.000020,1,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,model_stock,3,0.01,0.194700,0.331774,-0.137074,0,0.331192,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,model_stock,3,0.1,0.137400,0.745981,-0.608581,0,0.754089,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,model_stock,5,0,0.169200,0.194680,-0.025480,4,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,model_stock,5,0.01,0.090900,0.409237,-0.318337,4,0.409463,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,model_stock,5,0.1,0.083000,0.194680,-0.111680,1,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,model_stock,7,0,0.169200,0.194680,-0.025480,4,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,model_stock,7,0.01,0.169200,0.418883,-0.249683,6,0.421729,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,model_stock,7,0.1,0.195000,0.414791,-0.219791,5,0.421729,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,from,3,0,0.194700,0.194680,0.000020,1,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,from,3,0.01,0.137400,0.331774,-0.194374,0,0.331192,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,from,3,0.1,0.137400,0.745981,-0.608581,0,0.754089,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,from,5,0,0.071300,0.194680,-0.123380,4,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,from,5,0.01,0.071000,0.409237,-0.338237,4,0.409463,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,from,5,0.1,0.182400,0.194680,-0.012280,1,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,from,7,0,0.194700,0.194680,0.000020,4,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,from,7,0.01,0.137400,0.418883,-0.281483,6,0.421729,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,from,7,0.1,0.169200,0.414791,-0.245591,5,0.421729,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,iso_c,3,0,0.194700,0.194680,0.000020,1,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,iso_c,3,0.01,0.194700,0.331774,-0.137074,0,0.331192,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,iso_c,3,0.1,0.194700,0.745981,-0.551281,0,0.754089,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,iso_c,5,0,0.182400,0.194680,-0.012280,4,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,iso_c,5,0.01,0.194700,0.409237,-0.214537,4,0.409463,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,iso_c,5,0.1,0.182400,0.194680,-0.012280,1,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,iso_c,7,0,0.137400,0.194680,-0.057280,4,0.194509,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,convnext,iso_c,7,0.01,0.169200,0.418883,-0.249683,6,0.421729,formal_accuracy_rows + model_hub_meta_test_acc
