dataset,model,num_clients,beta,candidate,historical_selected,is_historical_selected,historical_acc,best_baseline,historical_delta_vs_best,historical_val_acc,historical_val_medical_acc,historical_selection_score,conflict_score,sign_conflict,direction_conflict,norm_dispersion,base_cancellation,consensus_cancellation,weight_shift_l1,weight_concentration,specialist_idx,specialist_score_gap_ratio,candidate_norm_ratio_to_avg,candidate_norm_ratio_to_consensus,distance_from_avg_ratio,distance_from_sign_ratio,cos_to_avg,cos_to_consensus,cos_to_sign,cos_to_medical,cos_to_specialist,sign_norm_ratio_to_avg,medical_norm_ratio_to_avg,specialist_norm_ratio_to_avg,sign_retained_l1_ratio
bloodmnist_224,resnet,3,0.01,delta_0p75,delta_0p00,0,0.4539608301666179,0.3376,0.11636083016661791,0.41796875,0.47142218431151334,0.4232763526816911,0.4071788735982129,0.38492250945752404,0.4795825779438019,0.3305492103099823,0.6280021028379674,0.6576270351891625,0.2406032383441925,0.06609466671943665,0,0.03985787790270295,1.8896851708652278,1.759692597137474,1.1283037703755994,0.16828139421934435,0.872890830039978,0.8741171360015869,0.9975252151489258,0.8751254081726074,0.23228782415390015,2.2348917379805027,1.0289264395288322,1.122172782550673,0.7904481188789991
bloodmnist_224,resnet,3,0.01,delta_1p00,delta_0p00,0,0.4539608301666179,0.3376,0.11636083016661791,0.408203125,0.46260127002083357,0.4128400691361474,0.4071788735982129,0.38492250945752404,0.4795825779438019,0.3305492103099823,0.6280021028379674,0.6576270351891625,0.2406032383441925,0.06609466671943665,0,0.03985787790270295,2.2348917379805027,2.0811521979226426,1.5043629248497659,0.0,0.8347912430763245,0.8389081954956055,1.0,0.8382120132446289,0.19901143014431,2.2348917379805027,1.0289264395288322,1.122172782550673,0.7904481188789991
bloodmnist_224,resnet,3,0.01,medical_weighted_fusion,delta_0p00,0,0.4539608301666179,0.3376,0.11636083016661791,0.392578125,0.3870314409193937,0.39032291675146735,0.4071788735982129,0.38492250945752404,0.4795825779438019,0.3305492103099823,0.6280021028379674,0.6576270351891625,0.2406032383441925,0.06609466671943665,0,0.03985787790270295,1.0289264395288322,0.9581459740242816,0.11508305852600009,0.6634300042732794,0.9949111938476562,0.9961496591567993,0.8382120132446289,1.0,0.4522853493690491,2.2348917379805027,1.0289264395288322,1.122172782550673,0.7904481188789991
bloodmnist_224,resnet,3,0.01,specialist_client,delta_0p00,0,0.4539608301666179,0.3376,0.11636083016661791,0.33984375,0.28377370657083767,0.32536328551405275,0.4071788735982129,0.38492250945752404,0.4795825779438019,0.3305492103099823,0.6280021028379674,0.6576270351891625,0.2406032383441925,0.06609466671943665,0,0.03985787790270295,1.122172782550673,1.0449778453092458,1.1462474112940537,1.0253648352994726,0.4214966595172882,0.4578022062778473,0.19901143014431,0.4522853493690491,1.0,2.2348917379805027,1.0289264395288322,1.122172782550673,0.7904481188789991
bloodmnist_224,resnet,3,0.1,delta_0p00,delta_0p00,1,0.8541362174802689,0.3964,0.45773621748026894,0.841796875,0.8704223252727818,0.8453059122975055,0.41514861605012987,0.34813257436939016,0.4822135269641876,0.448571115732193,0.6500224323823282,0.6248024236148219,0.26183974742889404,0.13091987371444702,0,0.21079018002495223,0.999999999802776,1.137978630720195,0.0,0.6722268899876245,1.0,0.9451083540916443,0.8300570845603943,0.9864455461502075,0.48486068844795227,2.2040173078285403,0.9308396239242982,1.3209750814559675,0.816564445642295
bloodmnist_224,resnet,3,0.1,delta_0p25,delta_0p00,0,0.8541362174802689,0.3964,0.45773621748026894,0.798828125,0.8347840130006083,0.8033854771468759,0.41514861605012987,0.34813257436939016,0.4822135269641876,0.448571115732193,0.6500224323823282,0.6248024236148219,0.26183974742889404,0.13091987371444702,0,0.21079018002495223,1.2455815610400955,1.417445199562285,0.3703999251132639,0.5041917239923382,0.9701287150382996,0.8932366371154785,0.9420066475868225,0.9454963803291321,0.42878785729408264,2.2040173078285403,0.9308396239242982,1.3209750814559675,0.816564445642295
bloodmnist_224,resnet,3,0.1,delta_0p50,delta_0p00,0,0.8541362174802689,0.3964,0.45773621748026894,0.712890625,0.7705610845220776,0.7204921533816708,0.41514861605012987,0.34813257436939016,0.4822135269641876,0.448571115732193,0.6500224323823282,0.6248024236148219,0.26183974742889404,0.13091987371444702,0,0.21079018002495223,1.5416459579287884,1.754360156605128,0.7407998502265278,0.33611344499381224,0.9181108474731445,0.8303395509719849,0.9837766289710999,0.8879733681678772,0.37837454676628113,2.2040173078285403,0.9308396239242982,1.3209750814559675,0.816564445642295
bloodmnist_224,resnet,3,0.1,delta_0p75,delta_0p00,0,0.8541362174802689,0.3964,0.45773621748026894,0.638671875,0.7106379236312386,0.6481714598801982,0.41514861605012987,0.34813257436939016,0.4822135269641876,0.448571115732193,0.6500224323823282,0.6248024236148219,0.26183974742889404,0.13091987371444702,0,0.21079018002495223,1.8653455998817687,2.122723431992048,1.1112472862424625,0.16805672249690612,0.8697740435600281,0.7760384678840637,0.9970937371253967,0.8364065885543823,0.3391055762767792,2.2040173078285403,0.9308396239242982,1.3209750814559675,0.816564445642295
bloodmnist_224,resnet,3,0.1,delta_1p00,delta_0p00,0,0.8541362174802689,0.3964,0.45773621748026894,0.615234375,0.6853815192412057,0.6242077754241335,0.41514861605012987,0.34813257436939016,0.4822135269641876,0.448571115732193,0.6500224323823282,0.6248024236148219,0.26183974742889404,0.13091987371444702,0,0.21079018002495223,2.2040173078285403,2.508124598540995,1.4815997004530557,0.0,0.8300570845603943,0.7327850461006165,0.9996352791786194,0.7946563959121704,0.30933457612991333,2.2040173078285403,0.9308396239242982,1.3209750814559675,0.816564445642295
bloodmnist_224,resnet,3,0.1,medical_weighted_fusion,delta_0p00,0,0.8541362174802689,0.3964,0.45773621748026894,0.607421875,0.6219726915416709,0.6086519141235588,0.41514861605012987,0.34813257436939016,0.4822135269641876,0.448571115732193,0.6500224323823282,0.6248024236148219,0.26183974742889404,0.13091987371444702,0,0.21079018002495223,0.9308396239242982,1.0592756008623887,0.1797685409908681,0.7115411699870531,0.9864455461502075,0.9832965135574341,0.7946563959121704,1.0,0.6106287240982056,2.2040173078285403,0.9308396239242982,1.3209750814559675,0.816564445642295
