dataset,model,num_clients,beta,test_acc,best_original,delta_vs_best,fusion_hhi,fusion_max,evidence_reliability,class_morphology_separation,delta_blend_weight,specialist_anchor_weight,delta_agreement_mean_shift,early_params,early_sign_conflict,early_direction_conflict,early_norm_dispersion,early_mean_norm,early_conflict_score,mid_params,mid_sign_conflict,mid_direction_conflict,mid_norm_dispersion,mid_mean_norm,mid_conflict_score,late_params,late_sign_conflict,late_direction_conflict,late_norm_dispersion,late_mean_norm,late_conflict_score,classifier_params,classifier_sign_conflict,classifier_direction_conflict,classifier_norm_dispersion,classifier_mean_norm,classifier_conflict_score
chaoshengmnist_224,resnet,3,0.01,0.4519317160826595,0.4115,0.0404317160826595,0.40477487385358657,0.5459158420562744,0.6494761109352112,0.06512881815433502,0.05300289892330079,0.0,0.006635852031954528,5114816,0.19179129189900435,0.18125328421592712,0.09695557504892349,11237.984375,0.16913584583991115,1215488,0.2864790541760439,0.18013402819633484,0.04738527908921242,781.6329956054688,0.20143954006577944,4855808,0.3414413796213541,0.23191818594932556,0.07014141976833344,599.4977416992188,0.24884826986553998,4104,0.38652617890265173,0.4963661730289459,0.30771371722221375,2.654400110244751,0.40920768451076717
chaoshengmnist_224,resnet,3,0.1,0.26504941599281223,0.4681,-0.20305058400718778,0.3974656073805074,0.44273900985717773,0.6494761109352112,0.06512881815433502,0.0550148764008354,0.0,0.007894199224149929,5114816,0.18578455898751256,0.14991438388824463,0.07643537223339081,10408.4052734375,0.1513601603519444,1215488,0.26469015195330936,0.12873828411102295,0.0364118367433548,703.3445434570312,0.1714513351665182,4855808,0.35368008290675723,0.21181488037109375,0.07876168191432953,487.6171875,0.24904358182078948,4104,0.3369391513616826,0.44987744092941284,0.40765032172203064,2.486696481704712,0.3906097867824578
chaoshengmnist_224,resnet,5,0.0,0.21293800539083557,0.2264,-0.013461994609164418,0.21521035847670933,0.2942347228527069,0.6494761109352112,0.06512881815433502,0.07264603494953523,0.0,0.004492118458714458,5114816,0.2363420259012945,0.17352169752120972,0.32661786675453186,9449.9794921875,0.23241007913891232,1215488,0.27827533805341953,0.15285375714302063,0.30723997950553894,642.3018188476562,0.24017071302520382,4855808,0.43549963105623546,0.21840506792068481,0.44160088896751404,480.105712890625,0.36073678554104843,4104,0.31727105944781175,0.3669448792934418,0.24693234264850616,2.2571067810058594,0.32058915303392116
chaoshengmnist_224,resnet,5,0.01,0.4276729559748428,0.3468,0.08087295597484279,0.3180224009360313,0.5042439699172974,0.6494761109352112,0.06512881815433502,0.07359607286410882,0.0,0.005521331421565492,5114816,0.19364988317953824,0.1532454490661621,0.12806060910224915,11913.591796875,0.16639047642439878,1215488,0.2811446269782616,0.15005093812942505,0.1542026847600937,783.7781982421875,0.20987344743753525,4855808,0.41722952936964497,0.2263837456703186,0.1994294375181198,693.3287353515625,0.3068734867045757,4104,0.33940120343205904,0.37521976232528687,0.2710815668106079,2.489980697631836,0.3382737717203986
chaoshengmnist_224,resnet,5,0.1,0.3674752920035939,0.2552,0.11227529200359393,0.2888759047142007,0.465759813785553,0.6494761109352112,0.06512881815433502,0.06145457924656623,0.0,0.003152574604609981,5114816,0.21082043235669834,0.1893180012702942,0.22185374796390533,12754.751953125,0.20550124459789829,1215488,0.3012561129625755,0.20262974500656128,0.1254328191280365,844.6302490234375,0.23157222541106273,4855808,0.4331293274541478,0.23594412207603455,0.4119347035884857,716.06201171875,0.35987558079867576,4104,0.3508060254556412,0.3846018314361572,0.2261834442615509,2.4891321659088135,0.33771004131000376
chaoshengmnist_224,resnet,7,0.0,0.25067385444743934,0.2444,0.006273854447439331,0.18031599384355734,0.3165527582168579,0.6494761109352112,0.06512881815433502,0.08432786197432425,0.0,0.004047577691261353,5114816,0.28853465171454007,0.0943603515625,0.3511946201324463,6580.3427734375,0.2331056403449073,1215488,0.2878424960908942,0.0968884825706482,0.4080761671066284,445.4368591308594,0.24505532556195492,4855808,0.5131336285080021,0.2042728066444397,0.45809462666511536,288.5653381347656,0.39402454048717794,4104,0.2885848417405922,0.32444077730178833,0.19526861608028412,2.190385580062866,0.2824711740549492
chaoshengmnist_224,resnet,7,0.01,0.29469901168014373,0.2893,0.005399011680143728,0.242564786064269,0.430326372385025,0.6494761109352112,0.06512881815433502,0.09136437591315279,0.0,0.004747964966866505,5114816,0.27995143390651234,0.07779747247695923,0.4760255813598633,5959.70166015625,0.24841237689683893,1215488,0.2932153789166847,0.09820756316184998,0.5364846587181091,408.40765380859375,0.27361649936277743,4855808,0.48708301210992255,0.16984254121780396,0.6350615620613098,253.70150756835938,0.4056445572879585,4104,0.27026619907100136,0.3230370879173279,0.2958492934703827,2.158151626586914,0.2938526290470919
chaoshengmnist_224,resnet,7,0.1,0.22371967654986524,0.257,-0.03328032345013476,0.16760019769869894,0.2814375162124634,0.6494761109352112,0.06512881815433502,0.07321169060097672,0.0,0.0021269711779626733,5114816,0.19297424375105698,0.1697576642036438,0.2067396342754364,13235.7412109375,0.18760151901433825,1215488,0.3236226677259081,0.1832478940486908,0.1438368409872055,831.4933471679688,0.23853433159114154,4855808,0.4699945502652346,0.22245201468467712,0.3309819996356964,725.3218994140625,0.35555215268613183,4104,0.34737483467859187,0.35216110944747925,0.20875388383865356,2.5802180767059326,0.32132584067971476
organcmnist_224,resnet,3,0.0,0.3953261927945472,0.3824,0.012926192794547209,0.34974988052453426,0.4303658604621887,0.5918788313865662,0.2363453358411789,0.05283571405189574,0.0,0.008954352729584798,5108544,0.14550964684737333,0.1904887855052948,0.091639444231987,14248.6689453125,0.1504783048545686,1215488,0.2614853115332899,0.24954906105995178,0.11229775846004486,987.66064453125,0.22747011325297256,4855808,0.34487983394485777,0.2329045534133911,0.13167738914489746,613.7886962890625,0.2630479967988524,5643,0.35902620354247583,0.44146743416786194,0.1467617005109787,3.10871958732605,0.3454277336550615
organcmnist_224,resnet,3,0.01,0.34505842259006814,0.2657,0.07935842259006815,0.42137644138435904,0.5754274129867554,0.5918788313865662,0.2363453358411789,0.04282366674349984,0.2557032037493424,0.0032536431212793105,5108544,0.09587522159255912,0.1887979805469513,0.45554664731025696,23031.693359375,0.20033247237013596,1215488,0.23557834320775095,0.18519458174705505,0.40150585770606995,1760.7205810546875,0.2511295295961712,4855808,0.3331645545304073,0.19084393978118896,0.37916600704193115,1025.6417236328125,0.29255262987048564,5643,0.3675561814838757,0.44130608439445496,0.12613515555858612,3.614408254623413,0.3450844423175205
organcmnist_224,resnet,3,0.1,0.4315968841285297,0.4637,-0.0321031158714703,0.3671399500433541,0.4834579527378082,0.5918788313865662,0.2363453358411789,0.04855175438907612,0.23264455138103884,0.0045476400788174946,5108544,0.10196886742303024,0.1266496181488037,0.09571418911218643,16887.349609375,0.10935619451488218,1215488,0.2535996732671648,0.13493385910987854,0.18596342206001282,1224.6116943359375,0.19853938807068422,4855808,0.33190645105818495,0.13886144757270813,0.1436317414045334,816.510009765625,0.22668575790753775,5643,0.36577718713603635,0.461276113986969,0.2273396998643875,4.050865173339844,0.371514314079533
organcmnist_224,resnet,5,0.0,0.3062317429406037,0.2764,0.0298317429406037,0.2721100341934608,0.43738269805908203,0.5918788313865662,0.2363453358411789,0.060513841513310476,0.2785787954926491,0.003130398076782512,5108544,0.2806735453143443,0.19226548075675964,0.13640710711479187,11122.19921875,0.22087743507927915,1215488,0.33557294102767676,0.24611490964889526,0.15706586837768555,793.7763671875,0.268561215515105,4855808,0.4886049511325441,0.2787785530090332,0.36800816655158997,556.8153076171875,0.39104635487312445,5643,0.2927504726120772,0.3385743498802185,0.22889164090156555,2.7533955574035645,0.2960170633138243
organcmnist_224,resnet,5,0.01,0.3814508276533593,0.2165,0.1649508276533593,0.25139794990862296,0.39819592237472534,0.5918788313865662,0.2363453358411789,0.06726277183446144,0.27782492758956845,0.00460650022653681,5108544,0.20422826097230007,0.19629022479057312,0.1031172052025795,12692.7822265625,0.1812277371547515,1215488,0.3327310269855558,0.24353229999542236,0.0887170359492302,869.39599609375,0.252708674331744,4855808,0.4521402589849627,0.2532620429992676,0.13229189813137054,564.1483154296875,0.31856321121925096,5643,0.30267744450768186,0.3451869487762451,0.2525932192802429,2.933842182159424,0.3075389259561912
organcmnist_224,resnet,5,0.1,0.35272638753651414,0.2991,0.053626387536514164,0.2088358225819773,0.2767707109451294,0.5918788313865662,0.2363453358411789,0.06750569242720258,0.0,0.003825279858660906,5108544,0.1830531672113067,0.15827935934066772,0.16865451633930206,13149.373046875,0.17150260428218214,1215488,0.3399105968608007,0.20324569940567017,0.26703229546546936,949.3687744140625,0.2775022224724388,4855808,0.44607616194812616,0.192026287317276,0.1546858549118042,609.3436279296875,0.2988806444200642,5643,0.35674345487922277,0.37487953901290894,0.2762044370174408,3.7532718181610107,0.34698328075365653
organcmnist_224,resnet,7,0.0,0.29138266796494644,0.2354,0.05598266796494644,0.1889611779701904,0.31885460019111633,0.5918788313865662,0.2363453358411789,0.08014704418838671,0.24351127649664983,0.003950480886228434,5108544,0.3697140022148693,0.2144511640071869,0.2613535523414612,10773.2587890625,0.2936999188674988,1215488,0.368344265437203,0.24239513278007507,0.2074025720357895,761.2026977539062,0.2920737303269255,4855808,0.5360481543178883,0.29141977429389954,0.4040769338607788,416.3708190917969,0.4240339772180704,5643,0.28212257912812144,0.3011842966079712,0.19212503731250763,2.7935032844543457,0.2707946718829461
organcmnist_224,resnet,7,0.01,0.2775073028237585,0.2153,0.062207302823758526,0.1746889649035941,0.2797354459762573,0.5918788313865662,0.2363453358411789,0.07940397298443279,0.0,0.00409942489626701,5108544,0.22881383072253925,0.24601668119430542,0.35564693808555603,11510.404296875,0.2602014498602607,1215488,0.3801004857044732,0.2707671523094177,0.3281627893447876,755.6986694335938,0.33144627974426666,4855808,0.4988982984934063,0.308599591255188,0.3662552833557129,507.60137939453125,0.4057651479324912,5643,0.30446124062908386,0.3142063319683075,0.2119951993227005,3.0240025520324707,0.28937881433653545
organcmnist_224,resnet,7,0.1,0.34250243427458615,0.3841,-0.04159756572541384,0.15158392310116092,0.22055238485336304,0.5918788313865662,0.2363453358411789,0.07153447029770783,0.0,0.002115238989936188,5108544,0.18892707204334125,0.16430264711380005,0.15827332437038422,13722.6875,0.17417777378341043,1215488,0.3702158370344162,0.19820848107337952,0.19094648957252502,1021.4048461914062,0.27415939295567515,4855808,0.5076961984776481,0.2246505320072174,0.20452651381492615,632.00439453125,0.347996278280453,5643,0.33170320661619046,0.33872073888778687,0.2119501531124115,3.553823709487915,0.31020873221049344
