task_type,dataset,model,clip_model,num_clients,beta,seed,selected_candidate,client_weights,plot_path,status,image
small,bloodmnist_224,swin_tiny,,3,0.1,42,avg,"client_0.pt: pi=0.33333333, alpha_all=0.28595343, alpha_morph=0.26864967, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.14016438, F=0.03214950<br>client_1.pt: pi=0.33333333, alpha_all=0.42809686, alpha_morph=0.46277407, A=0.31250000, M=0.27876022, H=0.00000000, Q=0.28877306, F=0.19932094<br>client_2.pt: pi=0.33333333, alpha_all=0.28594977, alpha_morph=0.26857632, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.14048736, F=0.03165519",,not_plotted,
small,bloodmnist_224,swin_tiny,,5,0.0,42,avg,"client_0.pt: pi=0.20000000, alpha_all=0.23659965, alpha_morph=0.28766885, A=0.18750000, M=0.21976346, H=0.42857143, Q=0.21874639, F=0.05347433<br>client_1.pt: pi=0.20000000, alpha_all=0.13058443, alpha_morph=0.13635822, A=0.06250000, M=0.07016671, H=0.14285715, Q=0.07039253, F=0.01490027<br>client_2.pt: pi=0.20000000, alpha_all=0.16820833, alpha_morph=0.16782668, A=0.12500000, M=0.11751112, H=0.14285715, Q=0.11750800, F=0.02594489<br>client_3.pt: pi=0.20000000, alpha_all=0.19107807, alpha_morph=0.15748157, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.14048733, F=0.03165519<br>client_4.pt: pi=0.20000000, alpha_all=0.27352950, alpha_morph=0.25066468, A=0.31250000, M=0.27876022, H=0.00000000, Q=0.27876022, F=0.07175371",,not_plotted,
small,bloodmnist_224,swin_tiny,,5,0.01,42,avg,"client_0.pt: pi=0.20000000, alpha_all=0.08033483, alpha_morph=0.06548326, A=0.00000000, M=0.00000000, H=0.00000000, Q=0.01682777, F=0.00000000<br>client_1.pt: pi=0.20000000, alpha_all=0.27265796, alpha_morph=0.24894747, A=0.31250000, M=0.27876022, H=0.00000000, Q=0.27875715, F=0.07175413<br>client_2.pt: pi=0.20000000, alpha_all=0.13077603, alpha_morph=0.13826486, A=0.06250000, M=0.07451712, H=0.14285715, Q=0.07451712, F=0.01584819<br>client_3.pt: pi=0.20000000, alpha_all=0.27265832, alpha_morph=0.24894774, A=0.31250000, M=0.27876022, H=0.00000000, Q=0.27876022, F=0.07175371<br>client_4.pt: pi=0.20000000, alpha_all=0.24357283, alpha_morph=0.29835665, A=0.18750000, M=0.21976346, H=0.42857143, Q=0.22533001, F=0.13179739",,not_plotted,
small,bloodmnist_224,swin_tiny,,5,0.1,42,avg,"client_0.pt: pi=0.20000000, alpha_all=0.19538857, alpha_morph=0.16413015, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.13746461, F=0.03354821<br>client_1.pt: pi=0.20000000, alpha_all=0.28625503, alpha_morph=0.27407321, A=0.31250000, M=0.27876022, H=0.00000000, Q=0.26507461, F=0.16053603<br>client_2.pt: pi=0.20000000, alpha_all=0.10142725, alpha_morph=0.08425406, A=0.00000000, M=0.00000000, H=0.00000000, Q=0.16183484, F=0.00000000<br>client_3.pt: pi=0.20000000, alpha_all=0.17385922, alpha_morph=0.17656502, A=0.12500000, M=0.11751112, H=0.14285715, Q=0.12806141, F=0.02907053<br>client_4.pt: pi=0.20000000, alpha_all=0.24306993, alpha_morph=0.30097753, A=0.18750000, M=0.21976346, H=0.42857143, Q=0.22190166, F=0.05839365",,not_plotted,
small,bloodmnist_224,swin_tiny,,7,0.0,42,avg,"client_0.pt: pi=0.14285714, alpha_all=0.06778241, alpha_morph=0.05518600, A=0.00000000, M=0.00000000, H=0.00000000, Q=0.03193517, F=0.00000000<br>client_1.pt: pi=0.14285714, alpha_all=0.10724028, alpha_morph=0.11148109, A=0.06250000, M=0.07016671, H=0.14285715, Q=0.07016671, F=0.01486793<br>client_2.pt: pi=0.14285714, alpha_all=0.13817179, alpha_morph=0.13723658, A=0.12500000, M=0.11751112, H=0.14285715, Q=0.11751112, F=0.02594090<br>client_3.pt: pi=0.14285714, alpha_all=0.15695770, alpha_morph=0.12877733, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.14048733, F=0.03165519<br>client_4.pt: pi=0.14285714, alpha_all=0.22468595, alpha_morph=0.20497589, A=0.31250000, M=0.27876022, H=0.00000000, Q=0.27876022, F=0.07175371<br>client_5.pt: pi=0.14285714, alpha_all=0.19444652, alpha_morph=0.23530236, A=0.18750000, M=0.21976346, H=0.42857143, Q=0.21976346, F=0.05332840<br>client_6.pt: pi=0.14285714, alpha_all=0.11071540, alpha_morph=0.12704073, A=0.06250000, M=0.09879406, H=0.14285715, Q=0.09879406, F=0.02145447",,not_plotted,
small,bloodmnist_224,swin_tiny,,7,0.01,42,avg,"client_0.pt: pi=0.14285714, alpha_all=0.10304236, alpha_morph=0.12294834, A=0.06250000, M=0.09879406, H=0.14285715, Q=0.09879406, F=0.02145447<br>client_1.pt: pi=0.14285714, alpha_all=0.10477789, alpha_morph=0.11360224, A=0.06250000, M=0.07016671, H=0.14285715, Q=0.10464785, F=0.03872231<br>client_2.pt: pi=0.14285714, alpha_all=0.09980808, alpha_morph=0.10788994, A=0.06250000, M=0.07016671, H=0.14285715, Q=0.07016677, F=0.01486793<br>client_3.pt: pi=0.14285714, alpha_all=0.20911428, alpha_morph=0.19837296, A=0.31250000, M=0.27876022, H=0.00000000, Q=0.27876022, F=0.07175371<br>client_4.pt: pi=0.14285714, alpha_all=0.12863165, alpha_morph=0.13284843, A=0.12500000, M=0.11751112, H=0.14285715, Q=0.11784756, F=0.02598451<br>client_5.pt: pi=0.14285714, alpha_all=0.14584938, alpha_morph=0.12618753, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.11966302, F=0.05831836<br>client_6.pt: pi=0.14285714, alpha_all=0.20877640, alpha_morph=0.19815059, A=0.31250000, M=0.27876022, H=0.00000000, Q=0.27466595, F=0.07265975",,not_plotted,
small,bloodmnist_224,swin_tiny,,7,0.1,42,avg,"client_0.pt: pi=0.14285714, alpha_all=0.18851297, alpha_morph=0.18650535, A=0.31250000, M=0.27876022, H=0.00000000, Q=0.27073097, F=0.07593805<br>client_1.pt: pi=0.14285714, alpha_all=0.13200738, alpha_morph=0.11730265, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.14004514, F=0.03234506<br>client_2.pt: pi=0.14285714, alpha_all=0.13553730, alpha_morph=0.12224226, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.15913254, F=0.06267225<br>client_3.pt: pi=0.14285714, alpha_all=0.11623321, alpha_morph=0.12498713, A=0.12500000, M=0.11751112, H=0.14285715, Q=0.11780081, F=0.02598561<br>client_4.pt: pi=0.14285714, alpha_all=0.13200435, alpha_morph=0.11725758, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.14048615, F=0.03165830<br>client_5.pt: pi=0.14285714, alpha_all=0.16369323, alpha_morph=0.21444063, A=0.18750000, M=0.21976346, H=0.42857143, Q=0.22103916, F=0.05411347<br>client_6.pt: pi=0.14285714, alpha_all=0.13201164, alpha_morph=0.11726438, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.14056399, F=0.03166556",,not_plotted,
small,bloodmnist_224,vit_t,,3,0.0,42,avg,"client_0.pt: pi=0.33333333, alpha_all=0.38961327, alpha_morph=0.34072089, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.14049856, F=0.03165569<br>client_1.pt: pi=0.33333333, alpha_all=0.26634350, alpha_morph=0.29508159, A=0.06250000, M=0.07016671, H=0.14285715, Q=0.07071778, F=0.01487732<br>client_2.pt: pi=0.33333333, alpha_all=0.34404323, alpha_morph=0.36419749, A=0.12500000, M=0.11751112, H=0.14285715, Q=0.12088352, F=0.02698539",,not_plotted,
small,bloodmnist_224,vit_t,,3,0.01,42,avg,"client_0.pt: pi=0.33333333, alpha_all=0.38998958, alpha_morph=0.34105560, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.14048940, F=0.03165531<br>client_1.pt: pi=0.33333333, alpha_all=0.26669648, alpha_morph=0.29548401, A=0.06250000, M=0.07016671, H=0.14285715, Q=0.07096291, F=0.01504547<br>client_2.pt: pi=0.33333333, alpha_all=0.34331396, alpha_morph=0.36346030, A=0.12500000, M=0.11751112, H=0.14285715, Q=0.11751795, F=0.02594118",,not_plotted,
small,bloodmnist_224,vit_t,,3,0.1,42,avg,"client_0.pt: pi=0.33333333, alpha_all=0.36688274, alpha_morph=0.33246854, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.14025961, F=0.03170643<br>client_1.pt: pi=0.33333333, alpha_all=0.26618800, alpha_morph=0.33503067, A=0.06250000, M=0.09879406, H=0.14285715, Q=0.12692934, F=0.02425359<br>client_2.pt: pi=0.33333333, alpha_all=0.36692923, alpha_morph=0.33250079, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.14048496, F=0.03165526",,not_plotted,
small,bloodmnist_224,vit_t,,5,0.0,42,avg,"client_0.pt: pi=0.20000000, alpha_all=0.09360009, alpha_morph=0.08304892, A=0.00000000, M=0.00000000, H=0.00000000, Q=0.00298742, F=0.00000000<br>client_1.pt: pi=0.20000000, alpha_all=0.15501951, alpha_morph=0.17550033, A=0.06250000, M=0.07016671, H=0.14285715, Q=0.07016698, F=0.01486794<br>client_2.pt: pi=0.20000000, alpha_all=0.19970021, alpha_morph=0.21603459, A=0.12500000, M=0.11751112, H=0.14285715, Q=0.11719587, F=0.02609271<br>client_3.pt: pi=0.20000000, alpha_all=0.22688791, alpha_morph=0.20272931, A=0.18750000, M=0.14048733, H=0.00000000, Q=0.14048889, F=0.03165527<br>client_4.pt: pi=0.20000000, alpha_all=0.32479230, alpha_morph=0.32268685, A=0.31250000, M=0.27876022, H=0.00000000, Q=0.27876520, F=0.07175720",,not_plotted,
