dataset,task_type,backbone,method,setting,num_clients,beta,accuracy,source_file
bloodmnist,small,convnext,avg,c3_b0,3,0.0,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,avg,c3_b0.01,3,0.01,0.1374,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,avg,c3_b0.1,3,0.1,0.1374,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,avg,c5_b0,5,0.0,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,avg,c5_b0.01,5,0.01,0.071,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,avg,c5_b0.1,5,0.1,0.1824,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,avg,c7_b0,7,0.0,0.1374,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,avg,c7_b0.01,7,0.01,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,avg,c7_b0.1,7,0.1,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,ties,c3_b0,3,0.0,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,ties,c3_b0.01,3,0.01,0.1824,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,ties,c3_b0.1,3,0.1,0.1374,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,ties,c5_b0,5,0.0,0.0909,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,ties,c5_b0.01,5,0.01,0.0909,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,ties,c5_b0.1,5,0.1,0.1824,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,ties,c7_b0,7,0.0,0.1374,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,ties,c7_b0.01,7,0.01,0.1374,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,ties,c7_b0.1,7,0.1,0.1824,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,dare_linear,c3_b0,3,0.0,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,dare_linear,c3_b0.01,3,0.01,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,dare_linear,c3_b0.1,3,0.1,0.1374,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,dare_linear,c5_b0,5,0.0,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,dare_linear,c5_b0.01,5,0.01,0.071,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,dare_linear,c5_b0.1,5,0.1,0.1824,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,dare_linear,c7_b0,7,0.0,0.1374,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,dare_linear,c7_b0.01,7,0.01,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,dare_linear,c7_b0.1,7,0.1,0.0713,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,dare_ties,c3_b0,3,0.0,0.0713,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,dare_ties,c3_b0.01,3,0.01,0.1824,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,dare_ties,c3_b0.1,3,0.1,0.0751,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,dare_ties,c5_b0,5,0.0,0.0909,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,dare_ties,c5_b0.01,5,0.01,0.1824,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,dare_ties,c5_b0.1,5,0.1,0.1824,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,dare_ties,c7_b0,7,0.0,0.1374,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,dare_ties,c7_b0.01,7,0.01,0.1292,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,dare_ties,c7_b0.1,7,0.1,0.1824,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,regmean,c3_b0,3,0.0,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,regmean,c3_b0.01,3,0.01,0.1374,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,regmean,c3_b0.1,3,0.1,0.1374,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,regmean,c5_b0,5,0.0,0.0909,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,regmean,c5_b0.01,5,0.01,0.071,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,regmean,c5_b0.1,5,0.1,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,regmean,c7_b0,7,0.0,0.1692,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,regmean,c7_b0.01,7,0.01,0.1374,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,regmean,c7_b0.1,7,0.1,0.2502,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,fisher,c3_b0,3,0.0,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,fisher,c3_b0.01,3,0.01,0.1374,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,fisher,c3_b0.1,3,0.1,0.1374,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,fisher,c5_b0,5,0.0,0.1374,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,fisher,c5_b0.01,5,0.01,0.0713,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,fisher,c5_b0.1,5,0.1,0.0909,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,fisher,c7_b0,7,0.0,0.071,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,fisher,c7_b0.01,7,0.01,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,fisher,c7_b0.1,7,0.1,0.0909,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,breadcrumbs,c3_b0,3,0.0,0.1692,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,breadcrumbs,c3_b0.01,3,0.01,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,breadcrumbs,c3_b0.1,3,0.1,0.0909,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,breadcrumbs,c5_b0,5,0.0,0.1692,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,breadcrumbs,c5_b0.01,5,0.01,0.1692,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,breadcrumbs,c5_b0.1,5,0.1,0.0713,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,breadcrumbs,c7_b0,7,0.0,0.0713,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,breadcrumbs,c7_b0.01,7,0.01,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,breadcrumbs,c7_b0.1,7,0.1,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,model_stock,c3_b0,3,0.0,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,model_stock,c3_b0.01,3,0.01,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,model_stock,c3_b0.1,3,0.1,0.1374,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,model_stock,c5_b0,5,0.0,0.1692,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,model_stock,c5_b0.01,5,0.01,0.0909,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,model_stock,c5_b0.1,5,0.1,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,model_stock,c7_b0,7,0.0,0.1692,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,model_stock,c7_b0.01,7,0.01,0.1692,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,model_stock,c7_b0.1,7,0.1,0.195,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,from,c3_b0,3,0.0,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,from,c3_b0.01,3,0.01,0.1374,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,from,c3_b0.1,3,0.1,0.1374,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,from,c5_b0,5,0.0,0.0713,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,from,c5_b0.01,5,0.01,0.071,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,from,c5_b0.1,5,0.1,0.1824,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,from,c7_b0,7,0.0,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,from,c7_b0.01,7,0.01,0.1374,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,from,c7_b0.1,7,0.1,0.1692,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,iso_c,c3_b0,3,0.0,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,iso_c,c3_b0.01,3,0.01,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,iso_c,c3_b0.1,3,0.1,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,iso_c,c5_b0,5,0.0,0.1824,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,iso_c,c5_b0.01,5,0.01,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,iso_c,c5_b0.1,5,0.1,0.1824,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,iso_c,c7_b0,7,0.0,0.1374,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,iso_c,c7_b0.01,7,0.01,0.1692,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,iso_c,c7_b0.1,7,0.1,0.1374,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,free_merge,c3_b0,3,0.0,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,free_merge,c3_b0.01,3,0.01,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,free_merge,c3_b0.1,3,0.1,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,free_merge,c5_b0,5,0.0,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,free_merge,c5_b0.01,5,0.01,0.0909,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,free_merge,c5_b0.1,5,0.1,0.0713,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,free_merge,c7_b0,7,0.0,0.1374,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,free_merge,c7_b0.01,7,0.01,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,free_merge,c7_b0.1,7,0.1,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,robustmerge,c3_b0,3,0.0,0.1947,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,robustmerge,c3_b0.01,3,0.01,0.0909,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,robustmerge,c3_b0.1,3,0.1,0.1374,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,robustmerge,c5_b0,5,0.0,0.1692,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,robustmerge,c5_b0.01,5,0.01,0.1692,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,robustmerge,c5_b0.1,5,0.1,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,robustmerge,c7_b0,7,0.0,0.0713,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,robustmerge,c7_b0.01,7,0.01,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,convnext,robustmerge,c7_b0.1,7,0.1,0.0713,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,vit_t,avg,c3_b0,3,0.0,0.1692,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,vit_t,avg,c3_b0.01,3,0.01,0.0836,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,vit_t,avg,c3_b0.1,3,0.1,0.15,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,vit_t,avg,c5_b0,5,0.0,0.071,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,vit_t,avg,c5_b0.01,5,0.01,0.071,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,vit_t,avg,c5_b0.1,5,0.1,0.1824,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,vit_t,avg,c7_b0,7,0.0,0.1692,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,vit_t,avg,c7_b0.01,7,0.01,0.0959,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,vit_t,avg,c7_b0.1,7,0.1,0.083,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,vit_t,ties,c3_b0,3,0.0,0.0713,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,vit_t,ties,c3_b0.01,3,0.01,0.1184,program/MedMNISTMerge/result/bloodmnist(1).md
bloodmnist,small,vit_t,ties,c3_b0.1,3,0.1,0.0491,program/MedMNISTMerge/result/bloodmnist(1).md
