backbone,method,dataset,client_setting,client_average_acc
ConvNeXt,model_stock,Organ-C,K=7,0.1385
ConvNeXt,model_stock,Organ-C,Avg,0.1293
ConvNeXt,model_stock,Organ-S,K=3,0.1308
ConvNeXt,model_stock,Organ-S,K=5,0.1035
ConvNeXt,model_stock,Organ-S,K=7,0.1935
ConvNeXt,model_stock,Organ-S,Avg,0.1426
ConvNeXt,model_stock,Ultrasound,K=3,0.1575
ConvNeXt,model_stock,Ultrasound,K=5,0.1291
ConvNeXt,model_stock,Ultrasound,K=7,0.1479
ConvNeXt,model_stock,Ultrasound,Avg,0.1448
ConvNeXt,from,Blood,K=3,0.1565
ConvNeXt,from,Blood,K=5,0.1083
ConvNeXt,from,Blood,K=7,0.1671
ConvNeXt,from,Blood,Avg,0.1440
ConvNeXt,from,Derma,K=3,0.2966
ConvNeXt,from,Derma,K=5,0.3406
ConvNeXt,from,Derma,K=7,0.4569
ConvNeXt,from,Derma,Avg,0.3647
ConvNeXt,from,Organ-C,K=3,0.1232
ConvNeXt,from,Organ-C,K=5,0.1224
ConvNeXt,from,Organ-C,K=7,0.0650
ConvNeXt,from,Organ-C,Avg,0.1035
ConvNeXt,from,Organ-S,K=3,0.1324
ConvNeXt,from,Organ-S,K=5,0.1105
ConvNeXt,from,Organ-S,K=7,0.0897
ConvNeXt,from,Organ-S,Avg,0.1109
ConvNeXt,from,Ultrasound,K=3,0.1575
ConvNeXt,from,Ultrasound,K=5,0.1578
ConvNeXt,from,Ultrasound,K=7,0.1087
ConvNeXt,from,Ultrasound,Avg,0.1413
ConvNeXt,iso_c,Blood,K=3,0.1947
ConvNeXt,iso_c,Blood,K=5,0.1865
ConvNeXt,iso_c,Blood,K=7,0.1480
ConvNeXt,iso_c,Blood,Avg,0.1764
ConvNeXt,iso_c,Derma,K=3,0.2971
ConvNeXt,iso_c,Derma,K=5,0.4830
ConvNeXt,iso_c,Derma,K=7,0.6688
ConvNeXt,iso_c,Derma,Avg,0.4830
ConvNeXt,iso_c,Organ-C,K=3,0.0991
ConvNeXt,iso_c,Organ-C,K=5,0.0699
ConvNeXt,iso_c,Organ-C,K=7,0.0945
ConvNeXt,iso_c,Organ-C,Avg,0.0878
ConvNeXt,iso_c,Organ-S,K=3,0.0789
ConvNeXt,iso_c,Organ-S,K=5,0.1477
ConvNeXt,iso_c,Organ-S,K=7,0.0867
ConvNeXt,iso_c,Organ-S,Avg,0.1044
ConvNeXt,iso_c,Ultrasound,K=3,0.1518
ConvNeXt,iso_c,Ultrasound,K=5,0.1291
ConvNeXt,iso_c,Ultrasound,K=7,0.1605
ConvNeXt,iso_c,Ultrasound,Avg,0.1471
ConvNeXt,free_merge,Blood,K=3,0.1575
ConvNeXt,free_merge,Blood,K=5,0.1190
ConvNeXt,free_merge,Blood,K=7,0.1384
ConvNeXt,free_merge,Blood,Avg,0.1383
ConvNeXt,free_merge,Derma,K=3,0.2971
ConvNeXt,free_merge,Derma,K=5,0.4830
ConvNeXt,free_merge,Derma,K=7,0.6688
ConvNeXt,free_merge,Derma,Avg,0.4830
ConvNeXt,free_merge,Organ-C,K=3,0.0906
ConvNeXt,free_merge,Organ-C,K=5,0.1218
ConvNeXt,free_merge,Organ-C,K=7,0.1385
ConvNeXt,free_merge,Organ-C,Avg,0.1170
ConvNeXt,free_merge,Organ-S,K=3,0.1308
ConvNeXt,free_merge,Organ-S,K=5,0.1035
ConvNeXt,free_merge,Organ-S,K=7,0.1416
ConvNeXt,free_merge,Organ-S,Avg,0.1253
ConvNeXt,free_merge,Ultrasound,K=3,0.1506
ConvNeXt,free_merge,Ultrasound,K=5,0.1291
ConvNeXt,free_merge,Ultrasound,K=7,0.1695
ConvNeXt,free_merge,Ultrasound,Avg,0.1497
ConvNeXt,robustmerge,Blood,K=3,0.1410
ConvNeXt,robustmerge,Blood,K=5,0.1405
ConvNeXt,robustmerge,Blood,K=7,0.0752
ConvNeXt,robustmerge,Blood,Avg,0.1189
ConvNeXt,robustmerge,Derma,K=3,0.0908
ConvNeXt,robustmerge,Derma,K=5,0.4507
ConvNeXt,robustmerge,Derma,K=7,0.4830
ConvNeXt,robustmerge,Derma,Avg,0.3415
ConvNeXt,robustmerge,Organ-C,K=3,0.1394
ConvNeXt,robustmerge,Organ-C,K=5,0.1218
ConvNeXt,robustmerge,Organ-C,K=7,0.1793
ConvNeXt,robustmerge,Organ-C,Avg,0.1468
ConvNeXt,robustmerge,Organ-S,K=3,0.2354
ConvNeXt,robustmerge,Organ-S,K=5,0.0961
ConvNeXt,robustmerge,Organ-S,K=7,0.2077
ConvNeXt,robustmerge,Organ-S,Avg,0.1797
ConvNeXt,robustmerge,Ultrasound,K=3,0.1300
ConvNeXt,robustmerge,Ultrasound,K=5,0.1135
ConvNeXt,robustmerge,Ultrasound,K=7,0.1363
ConvNeXt,robustmerge,Ultrasound,Avg,0.1266
ConvNeXt,LAMP-Merge,Blood,K=3,0.8482
ConvNeXt,LAMP-Merge,Blood,K=5,0.8483
ConvNeXt,LAMP-Merge,Blood,K=7,0.8493
ConvNeXt,LAMP-Merge,Blood,Avg,0.8486
ConvNeXt,LAMP-Merge,Derma,K=3,0.5992
