backbone,method,dataset,client_setting,client_average_acc
ConvNeXt,dare_linear,Derma,K=3,0.2705
ConvNeXt,dare_linear,Derma,K=5,0.4830
ConvNeXt,dare_linear,Derma,K=7,0.4830
ConvNeXt,dare_linear,Derma,Avg,0.4122
ConvNeXt,dare_linear,Organ-C,K=3,0.1035
ConvNeXt,dare_linear,Organ-C,K=5,0.0699
ConvNeXt,dare_linear,Organ-C,K=7,0.1085
ConvNeXt,dare_linear,Organ-C,Avg,0.0940
ConvNeXt,dare_linear,Organ-S,K=3,0.1282
ConvNeXt,dare_linear,Organ-S,K=5,0.1035
ConvNeXt,dare_linear,Organ-S,K=7,0.0797
ConvNeXt,dare_linear,Organ-S,Avg,0.1038
ConvNeXt,dare_linear,Ultrasound,K=3,0.1575
ConvNeXt,dare_linear,Ultrasound,K=5,0.1575
ConvNeXt,dare_linear,Ultrasound,K=7,0.1264
ConvNeXt,dare_linear,Ultrasound,Avg,0.1471
ConvNeXt,dare_ties,Blood,K=3,0.1096
ConvNeXt,dare_ties,Blood,K=5,0.1519
ConvNeXt,dare_ties,Blood,K=7,0.1497
ConvNeXt,dare_ties,Blood,Avg,0.1371
ConvNeXt,dare_ties,Derma,K=3,0.0908
ConvNeXt,dare_ties,Derma,K=5,0.2798
ConvNeXt,dare_ties,Derma,K=7,0.2451
ConvNeXt,dare_ties,Derma,Avg,0.2052
ConvNeXt,dare_ties,Organ-C,K=3,0.1305
ConvNeXt,dare_ties,Organ-C,K=5,0.1346
ConvNeXt,dare_ties,Organ-C,K=7,0.0770
ConvNeXt,dare_ties,Organ-C,Avg,0.1140
ConvNeXt,dare_ties,Organ-S,K=3,0.1096
ConvNeXt,dare_ties,Organ-S,K=5,0.0946
ConvNeXt,dare_ties,Organ-S,K=7,0.0709
ConvNeXt,dare_ties,Organ-S,Avg,0.0917
ConvNeXt,dare_ties,Ultrasound,K=3,0.1456
ConvNeXt,dare_ties,Ultrasound,K=5,0.1297
ConvNeXt,dare_ties,Ultrasound,K=7,0.1500
ConvNeXt,dare_ties,Ultrasound,Avg,0.1418
ConvNeXt,regmean,Blood,K=3,0.1565
ConvNeXt,regmean,Blood,K=5,0.0817
ConvNeXt,regmean,Blood,K=7,0.1856
ConvNeXt,regmean,Blood,Avg,0.1413
ConvNeXt,regmean,Derma,K=3,0.2633
ConvNeXt,regmean,Derma,K=5,0.0773
ConvNeXt,regmean,Derma,K=7,0.2720
ConvNeXt,regmean,Derma,Avg,0.2042
ConvNeXt,regmean,Organ-C,K=3,0.1143
ConvNeXt,regmean,Organ-C,K=5,0.1017
ConvNeXt,regmean,Organ-C,K=7,0.0768
ConvNeXt,regmean,Organ-C,Avg,0.0976
ConvNeXt,regmean,Organ-S,K=3,0.1014
ConvNeXt,regmean,Organ-S,K=5,0.1259
ConvNeXt,regmean,Organ-S,K=7,0.1038
ConvNeXt,regmean,Organ-S,Avg,0.1104
ConvNeXt,regmean,Ultrasound,K=3,0.1575
ConvNeXt,regmean,Ultrasound,K=5,0.1539
ConvNeXt,regmean,Ultrasound,K=7,0.1500
ConvNeXt,regmean,Ultrasound,Avg,0.1538
ConvNeXt,fisher,Blood,K=3,0.1565
ConvNeXt,fisher,Blood,K=5,0.0999
ConvNeXt,fisher,Blood,K=7,0.1189
ConvNeXt,fisher,Blood,Avg,0.1251
ConvNeXt,fisher,Derma,K=3,0.4825
ConvNeXt,fisher,Derma,K=5,0.2638
ConvNeXt,fisher,Derma,K=7,0.2971
ConvNeXt,fisher,Derma,Avg,0.3478
ConvNeXt,fisher,Organ-C,K=3,0.1003
ConvNeXt,fisher,Organ-C,K=5,0.0974
ConvNeXt,fisher,Organ-C,K=7,0.0915
ConvNeXt,fisher,Organ-C,Avg,0.0964
ConvNeXt,fisher,Organ-S,K=3,0.0604
ConvNeXt,fisher,Organ-S,K=5,0.0517
ConvNeXt,fisher,Organ-S,K=7,0.0843
ConvNeXt,fisher,Organ-S,Avg,0.0655
ConvNeXt,fisher,Ultrasound,K=3,0.1695
ConvNeXt,fisher,Ultrasound,K=5,0.1360
ConvNeXt,fisher,Ultrasound,K=7,0.1456
ConvNeXt,fisher,Ultrasound,Avg,0.1504
ConvNeXt,breadcrumbs,Blood,K=3,0.1516
ConvNeXt,breadcrumbs,Blood,K=5,0.1366
ConvNeXt,breadcrumbs,Blood,K=7,0.1163
ConvNeXt,breadcrumbs,Blood,Avg,0.1348
ConvNeXt,breadcrumbs,Derma,K=3,0.0524
ConvNeXt,breadcrumbs,Derma,K=5,0.2766
ConvNeXt,breadcrumbs,Derma,K=7,0.4630
ConvNeXt,breadcrumbs,Derma,Avg,0.2640
ConvNeXt,breadcrumbs,Organ-C,K=3,0.1031
ConvNeXt,breadcrumbs,Organ-C,K=5,0.1444
ConvNeXt,breadcrumbs,Organ-C,K=7,0.1574
ConvNeXt,breadcrumbs,Organ-C,Avg,0.1350
ConvNeXt,breadcrumbs,Organ-S,K=3,0.1516
ConvNeXt,breadcrumbs,Organ-S,K=5,0.1554
ConvNeXt,breadcrumbs,Organ-S,K=7,0.2077
ConvNeXt,breadcrumbs,Organ-S,Avg,0.1716
ConvNeXt,breadcrumbs,Ultrasound,K=3,0.1384
ConvNeXt,breadcrumbs,Ultrasound,K=5,0.1363
ConvNeXt,breadcrumbs,Ultrasound,K=7,0.1363
ConvNeXt,breadcrumbs,Ultrasound,Avg,0.1370
ConvNeXt,model_stock,Blood,K=3,0.1756
ConvNeXt,model_stock,Blood,K=5,0.1144
ConvNeXt,model_stock,Blood,K=7,0.1778
ConvNeXt,model_stock,Blood,Avg,0.1559
ConvNeXt,model_stock,Derma,K=3,0.2966
ConvNeXt,model_stock,Derma,K=5,0.4830
ConvNeXt,model_stock,Derma,K=7,0.6688
ConvNeXt,model_stock,Derma,Avg,0.4828
ConvNeXt,model_stock,Organ-C,K=3,0.1276
ConvNeXt,model_stock,Organ-C,K=5,0.1218
