module,x_symbol,x_value,curve_symbol,curve_value,root,raw_cells,raw_mean_acc,client_average_cells,client_average_mean_acc
diagnostic prototype reconstruction,s,22.5,gamma,0.5,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p50_s_22p5,180,0.6212738131937309,60,0.6212738131937309
diagnostic prototype reconstruction,s,23.75,gamma,0.5,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m1_gamma_0p50_s_23p75,180,0.6209516782285835,60,0.6209516782285835
diagnostic prototype reconstruction,s,25.0,gamma,0.5,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p50_s_25,180,0.6204863510199816,60,0.6204863510199816
diagnostic prototype reconstruction,s,13.75,gamma,0.55,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m1_gamma_0p55_s_13p75,180,0.6220658903532112,60,0.6220658903532112
diagnostic prototype reconstruction,s,15.0,gamma,0.55,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p55_s_15,180,0.6218658846483586,60,0.6218658846483586
diagnostic prototype reconstruction,s,16.25,gamma,0.55,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m1_gamma_0p55_s_16p25,180,0.6219299059029681,60,0.6219299059029681
diagnostic prototype reconstruction,s,17.5,gamma,0.55,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p55_s_17p5,180,0.6223136087905845,60,0.6223136087905845
diagnostic prototype reconstruction,s,18.75,gamma,0.55,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m1_gamma_0p55_s_18p75,180,0.6226981412692826,60,0.6226981412692826
diagnostic prototype reconstruction,s,20.0,gamma,0.55,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p55_s_20,180,0.6223743222828075,60,0.6223743222828075
diagnostic prototype reconstruction,s,21.25,gamma,0.55,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m1_gamma_0p55_s_21p25,180,0.6218349638041366,60,0.6218349638041366
