task_type,dataset,model,clip_model,num_clients,beta,seed,merged_method,comparison_baseline,merged_accuracy,baseline_accuracy,gap_accuracy,merged_balanced_accuracy,baseline_balanced_accuracy,gap_balanced_accuracy,merged_macro_f1,baseline_macro_f1,gap_macro_f1
small,dermamnist_224,resnet,,3,0,42,fisher,best_single_client,0.6688279301745635,0.5770573566084788,0.09177057356608476,0.14285714285714285,0.210007971405796,-0.06715082854865315,0.1145077277773034,0.12272474433019466,-0.008217016552891254
small,dermamnist_224,resnet,,3,0,42,fisher,prob_ensemble,0.6688279301745635,0.48877805486284287,0.18004987531172068,0.14285714285714285,0.24750229096633306,-0.1046451481091902,0.1145077277773034,0.15774302143282856,-0.043235293655525156
small,dermamnist_224,resnet,,3,0,42,fisher,logit_ensemble,0.6688279301745635,0.45536159600997506,0.2134663341645885,0.14285714285714285,0.21743869070588034,-0.0745815478487375,0.1145077277773034,0.1453562250738137,-0.030848497296510305
small,dermamnist_224,resnet,,3,0,42,fisher,oracle_any_correct,0.6688279301745635,0.6648379052369078,0.003990024937655767,0.14285714285714285,0.5293749986112708,-0.38651785575412795,0.1145077277773034,0.3185105981317654,-0.20400287035446202
small,dermamnist_224,resnet,,3,0,42,fisher,oracle_min_loss,0.6688279301745635,0.6648379052369078,0.003990024937655767,0.14285714285714285,0.5293749986112708,-0.38651785575412795,0.1145077277773034,0.3185105981317654,-0.20400287035446202
small,dermamnist_224,resnet,,3,0,42,regmean,best_single_client,0.6389027431421447,0.5770573566084788,0.06184538653366589,0.1613920871897676,0.210007971405796,-0.04861588421602839,0.14850500396415217,0.12272474433019466,0.02578025963395751
small,dermamnist_224,resnet,,3,0,42,regmean,prob_ensemble,0.6389027431421447,0.48877805486284287,0.1501246882793018,0.1613920871897676,0.24750229096633306,-0.08611020377656545,0.14850500396415217,0.15774302143282856,-0.00923801746867639
small,dermamnist_224,resnet,,3,0,42,regmean,logit_ensemble,0.6389027431421447,0.45536159600997506,0.18354114713216962,0.1613920871897676,0.21743869070588034,-0.056046603516112736,0.14850500396415217,0.1453562250738137,0.0031487788903384606
small,dermamnist_224,resnet,,3,0,42,regmean,oracle_any_correct,0.6389027431421447,0.6648379052369078,-0.025935162094763098,0.1613920871897676,0.5293749986112708,-0.3679829114215032,0.14850500396415217,0.3185105981317654,-0.17000559416761324
small,dermamnist_224,resnet,,3,0,42,regmean,oracle_min_loss,0.6389027431421447,0.6648379052369078,-0.025935162094763098,0.1613920871897676,0.5293749986112708,-0.3679829114215032,0.14850500396415217,0.3185105981317654,-0.17000559416761324
small,dermamnist_224,resnet,,3,0,42,from,best_single_client,0.6688279301745635,0.5770573566084788,0.09177057356608476,0.14285714285714285,0.210007971405796,-0.06715082854865315,0.1145077277773034,0.12272474433019466,-0.008217016552891254
small,dermamnist_224,resnet,,3,0,42,from,prob_ensemble,0.6688279301745635,0.48877805486284287,0.18004987531172068,0.14285714285714285,0.24750229096633306,-0.1046451481091902,0.1145077277773034,0.15774302143282856,-0.043235293655525156
small,dermamnist_224,resnet,,3,0,42,from,logit_ensemble,0.6688279301745635,0.45536159600997506,0.2134663341645885,0.14285714285714285,0.21743869070588034,-0.0745815478487375,0.1145077277773034,0.1453562250738137,-0.030848497296510305
small,dermamnist_224,resnet,,3,0,42,from,oracle_any_correct,0.6688279301745635,0.6648379052369078,0.003990024937655767,0.14285714285714285,0.5293749986112708,-0.38651785575412795,0.1145077277773034,0.3185105981317654,-0.20400287035446202
small,dermamnist_224,resnet,,3,0,42,from,oracle_min_loss,0.6688279301745635,0.6648379052369078,0.003990024937655767,0.14285714285714285,0.5293749986112708,-0.38651785575412795,0.1145077277773034,0.3185105981317654,-0.20400287035446202
small,dermamnist_224,resnet,,3,0.01,42,avg,best_single_client,0.5461346633416458,0.6812967581047381,-0.13516209476309227,0.21691387593050854,0.3110735082500877,-0.09415963231957919,0.14864873612276988,0.25200544996306157,-0.10335671384029169
small,dermamnist_224,resnet,,3,0.01,42,avg,prob_ensemble,0.5461346633416458,0.4768079800498753,0.06932668329177055,0.21691387593050854,0.2490506281488047,-0.03213675221829615,0.14864873612276988,0.2097620787237444,-0.06111334260097451
small,dermamnist_224,resnet,,3,0.01,42,avg,logit_ensemble,0.5461346633416458,0.2977556109725686,0.24837905236907726,0.21691387593050854,0.2243215408188291,-0.007407664888320564,0.14864873612276988,0.16363851455446035,-0.01498977843169047
small,dermamnist_224,resnet,,3,0.01,42,avg,oracle_any_correct,0.5461346633416458,0.8428927680798005,-0.29675810473815467,0.21691387593050854,0.6608895849551472,-0.4439757090246386,0.14864873612276988,0.5663653840784612,-0.4177166479556913
small,dermamnist_224,resnet,,3,0.01,42,avg,oracle_min_loss,0.5461346633416458,0.8428927680798005,-0.29675810473815467,0.21691387593050854,0.6608895849551472,-0.4439757090246386,0.14864873612276988,0.5663653840784612,-0.4177166479556913
small,dermamnist_224,resnet,,3,0.01,42,ties,best_single_client,0.571072319201995,0.6812967581047381,-0.11022443890274314,0.17379553127065278,0.3110735082500877,-0.13727797697943495,0.15640095833881376,0.25200544996306157,-0.0956044916242478
small,dermamnist_224,resnet,,3,0.01,42,ties,prob_ensemble,0.571072319201995,0.4768079800498753,0.09426433915211968,0.17379553127065278,0.2490506281488047,-0.0752550968781519,0.15640095833881376,0.2097620787237444,-0.05336112038493063
small,dermamnist_224,resnet,,3,0.01,42,ties,logit_ensemble,0.571072319201995,0.2977556109725686,0.2733167082294264,0.17379553127065278,0.2243215408188291,-0.05052600954817632,0.15640095833881376,0.16363851455446035,-0.00723755621564659
small,dermamnist_224,resnet,,3,0.01,42,ties,oracle_any_correct,0.571072319201995,0.8428927680798005,-0.27182044887780554,0.17379553127065278,0.6608895849551472,-0.4870940536844944,0.15640095833881376,0.5663653840784612,-0.4099644257396474
small,dermamnist_224,resnet,,3,0.01,42,ties,oracle_min_loss,0.571072319201995,0.8428927680798005,-0.27182044887780554,0.17379553127065278,0.6608895849551472,-0.4870940536844944,0.15640095833881376,0.5663653840784612,-0.4099644257396474
small,dermamnist_224,resnet,,3,0.01,42,fisher,best_single_client,0.6668329177057356,0.6812967581047381,-0.014463840399002503,0.17425127109352548,0.3110735082500877,-0.13682223715656225,0.17075211279108674,0.25200544996306157,-0.08125333717197483
small,dermamnist_224,resnet,,3,0.01,42,fisher,prob_ensemble,0.6668329177057356,0.4768079800498753,0.19002493765586032,0.17425127109352548,0.2490506281488047,-0.07479935705527921,0.17075211279108674,0.2097620787237444,-0.03900996593265765
small,dermamnist_224,resnet,,3,0.01,42,fisher,logit_ensemble,0.6668329177057356,0.2977556109725686,0.369077306733167,0.17425127109352548,0.2243215408188291,-0.05007026972530362,0.17075211279108674,0.16363851455446035,0.007113598236626384
